month,coef,se,pval,ci_low,ci_high,post_chatgpt,outcome
2021-01,,,,,,0,log_questions
2021-02,,,,,,0,log_questions
2021-03,,,,,,0,log_questions
2021-04,,,,,,0,log_questions
2021-05,,,,,,0,log_questions
2021-06,,,,,,0,log_questions
2021-07,,,,,,0,log_questions
2021-08,,,,,,0,log_questions
2021-09,,,,,,0,log_questions
2021-10,,,,,,0,log_questions
2021-11,,,,,,0,log_questions
2021-12,,,,,,0,log_questions
2022-01,,,,,,0,log_questions
2022-02,,,,,,0,log_questions
2022-03,,,,,,0,log_questions
2022-04,,,,,,0,log_questions
2022-05,,,,,,0,log_questions
2022-06,,,,,,0,log_questions
2022-07,,,,,,0,log_questions
2022-08,,,,,,0,log_questions
2022-09,,,,,,0,log_questions
2022-10,,,,,,0,log_questions
2022-11,0.0,0.0,,0.0,0.0,0,log_questions
2022-12,,,,,,1,log_questions
2023-01,,,,,,1,log_questions
2023-02,,,,,,1,log_questions
2023-03,,,,,,1,log_questions
