tag,month_id,exposure_index,exposure_group,exposure_rank,n_questions,accepted_rate,mean_answer_count,mean_score,mean_log_views,mean_log_answers,routine_keyword_share,post_chatgpt,log_questions,time_index,time_post,month_order,exposure_post
android-studio,2021-01,-0.8363397346443171,Low Exposure,15,771,0.36186770428015563,1.1738002594033723,0.7691309987029832,5.441634899247388,0.6740855033289136,0.3748378728923476,0,6.648984550024776,1,0,2021-01,-0.0
android-studio,2021-02,-0.8363397346443171,Low Exposure,15,581,0.35628227194492257,1.153184165232358,0.927710843373494,5.4390990889253175,0.6628816344241546,0.37005163511187605,0,6.366470447731438,2,0,2021-02,-0.0
android-studio,2021-03,-0.8363397346443171,Low Exposure,15,766,0.33159268929503916,1.133159268929504,1.4321148825065275,5.415393437587466,0.6449169075780833,0.38903394255874674,0,6.642486801367256,3,0,2021-03,-0.0
android-studio,2021-04,-0.8363397346443171,Low Exposure,15,788,0.3299492385786802,1.16751269035533,2.1091370558375635,5.4400521516962455,0.6514219586331639,0.37182741116751267,0,6.670766320845874,4,0,2021-04,-0.0
android-studio,2021-05,-0.8363397346443171,Low Exposure,15,909,0.34213421342134215,1.297029702970297,2.4543454345434546,5.539970185025254,0.672943892036703,0.36633663366336633,0,6.813444599510896,5,0,2021-05,-0.0
android-studio,2021-06,-0.8363397346443171,Low Exposure,15,807,0.3420074349442379,1.1053283767038413,0.9702602230483272,5.486876777634806,0.6409535212844253,0.37794299876084264,0,6.694562058521095,6,0,2021-06,-0.0
android-studio,2021-07,-0.8363397346443171,Low Exposure,15,847,0.33530106257378983,1.2668240850059032,2.708382526564345,5.457059029899548,0.6712379618280436,0.3990554899645809,0,6.742880635791903,7,0,2021-07,-0.0
android-studio,2021-08,-0.8363397346443171,Low Exposure,15,841,0.3460166468489893,1.1260404280618312,1.300832342449465,5.644121999338464,0.6529624828304531,0.3793103448275862,0,6.7357800142423265,8,0,2021-08,-0.0
android-studio,2021-09,-0.8363397346443171,Low Exposure,15,732,0.31830601092896177,1.0437158469945356,0.912568306010929,5.5176698882885304,0.6138999825098208,0.4098360655737705,0,6.597145701886651,9,0,2021-09,-0.0
android-studio,2021-10,-0.8363397346443171,Low Exposure,15,627,0.31738437001594894,1.0813397129186604,0.9760765550239234,5.443483361682874,0.6256469797559705,0.3365231259968102,0,6.4425401664681985,10,0,2021-10,-0.0
android-studio,2021-11,-0.8363397346443171,Low Exposure,15,628,0.31210191082802546,1.0254777070063694,0.8901273885350318,5.413781027333289,0.6140382294922542,0.3614649681528662,0,6.444131256700441,11,0,2021-11,-0.0
android-studio,2021-12,-0.8363397346443171,Low Exposure,15,662,0.3021148036253776,1.0709969788519638,0.8111782477341389,5.45604123068102,0.6319512175194137,0.40181268882175225,0,6.4967749901858625,12,0,2021-12,-0.0
android-studio,2022-01,-0.8363397346443171,Low Exposure,15,754,0.2917771883289125,1.1259946949602122,1.2519893899204244,5.595114704043719,0.634977320053209,0.3952254641909814,0,6.626717749249025,13,0,2022-01,-0.0
android-studio,2022-02,-0.8363397346443171,Low Exposure,15,696,0.28879310344827586,1.110632183908046,1.2758620689655173,5.571678849287424,0.6412229415525112,0.3850574712643678,0,6.546785410760524,14,0,2022-02,-0.0
android-studio,2022-03,-0.8363397346443171,Low Exposure,15,954,0.22327044025157233,0.7589098532494759,0.5953878406708596,5.139528111627397,0.4518852198110245,0.4077568134171908,0,6.86171134048073,15,0,2022-03,-0.0
android-studio,2022-04,-0.8363397346443171,Low Exposure,15,910,0.22197802197802197,0.734065934065934,0.44065934065934065,4.893141866385196,0.44199032003081457,0.4043956043956044,0,6.814542897259958,16,0,2022-04,-0.0
android-studio,2022-05,-0.8363397346443171,Low Exposure,15,871,0.20436280137772675,0.7623421354764638,0.6084959816303099,4.898080384266019,0.44594830055500473,0.39265212399540755,0,6.77078942390898,17,0,2022-05,-0.0
android-studio,2022-06,-0.8363397346443171,Low Exposure,15,833,0.23529411764705882,0.7046818727490997,0.5054021608643458,4.744898759312052,0.428169115320308,0.3937575030012005,0,6.726233402358747,18,0,2022-06,-0.0
android-studio,2022-07,-0.8363397346443171,Low Exposure,15,827,0.21523579201934703,0.7303506650544136,0.5078597339782346,4.647470706296346,0.44716332853004115,0.41233373639661425,0,6.71901315438526,19,0,2022-07,-0.0
android-studio,2022-08,-0.8363397346443171,Low Exposure,15,787,0.21982210927573062,0.7141041931385006,0.46124523506988563,4.5983626977710985,0.4329541428576066,0.41168996188055906,0,6.669498089857879,20,0,2022-08,-0.0
android-studio,2022-09,-0.8363397346443171,Low Exposure,15,640,0.2046875,0.74375,0.58125,4.48992419012484,0.4348187011169052,0.4046875,0,6.46302945692067,21,0,2022-09,-0.0
android-studio,2022-10,-0.8363397346443171,Low Exposure,15,642,0.1806853582554517,0.6806853582554517,0.5607476635514018,4.292201830932969,0.4123962574082031,0.35669781931464173,0,6.466144724237619,22,0,2022-10,-0.0
android-studio,2022-11,-0.8363397346443171,Low Exposure,15,562,0.1512455516014235,0.603202846975089,0.2117437722419929,3.9463873250879495,0.3731992914049574,0.4288256227758007,0,6.333279628139691,23,0,2022-11,-0.0
android-studio,2022-12,-0.8363397346443171,Low Exposure,15,481,0.19542619542619544,0.5696465696465697,0.23700623700623702,3.875122015488824,0.3581466308369932,0.38461538461538464,1,6.1779441140506,24,1,2022-12,-0.8363397346443171
android-studio,2023-01,-0.8363397346443171,Low Exposure,15,577,0.14904679376083188,0.682842287694974,0.35701906412478335,3.827335155351063,0.404464077072671,0.36568457538994803,1,6.359573868672378,25,2,2023-01,-0.8363397346443171
android-studio,2023-02,-0.8363397346443171,Low Exposure,15,580,0.1,0.4896551724137931,0.022413793103448276,3.2549851428948022,0.3126639824386041,0.4086206896551724,1,6.364750756851911,26,3,2023-02,-0.8363397346443171
android-studio,2023-03,-0.8363397346443171,Low Exposure,15,73,0.0821917808219178,0.3698630136986301,-0.2191780821917808,2.8165168024255998,0.2248427026781408,0.3835616438356164,1,4.30406509320417,27,4,2023-03,-0.8363397346443171
