tag,group,month_id,high_tag,post_chatgpt,n_questions,accepted_rate,mean_log_answers,mean_log_views,log_questions,high_post,time_index
android,low,2022-01,0,0,4045.3333333333335,0.32321193144363874,0.5966238356246634,5.577838234397068,8.305566400229694,0,1
android,low,2022-02,0,0,3681.3333333333335,0.31560123143788477,0.5882849713558099,5.532664207044684,8.211301888204165,0,2
android,low,2022-03,0,0,4938.333333333333,0.2532230847114411,0.4443681720048611,5.241286367050195,8.504985648308493,0,3
android,low,2022-04,0,0,4569.833333333333,0.2348736277763595,0.43569993124671674,5.067238946946494,8.427450815915376,0,4
android,low,2022-05,0,0,4662.0,0.22254397254397254,0.41191838185029556,4.964572676692142,8.44741429680832,0,5
android,low,2022-06,0,0,4451.666666666666,0.23530512916510674,0.42369834120589805,4.8410541233031745,8.401258446617472,0,6
android,low,2022-07,0,0,4383.0,0.2394098410525515,0.4413585594233595,4.7644687400812975,8.385716828627851,0,7
android,low,2022-08,0,0,4765.333333333333,0.2425853385562395,0.4300650788148977,4.66639185775842,8.469332595064737,0,8
android,low,2022-09,0,0,4147.333333333334,0.22275357659540262,0.42478637514237,4.501814688430759,8.330461926133584,0,9
android,low,2022-10,0,0,4236.666666666667,0.21184107002360344,0.4004042804983682,4.340034108426228,8.351768082282012,0,10
android,low,2022-11,0,0,4162.416666666667,0.21898336303029087,0.3957685452277776,4.115744987562575,8.334091330264005,0,11
android,low,2022-12,0,1,3816.166666666667,0.2117307944272175,0.3777271299922106,3.9920311507451154,8.247263716100766,0,12
android,low,2023-01,0,1,3901.666666666667,0.1984621956428876,0.37954438685158126,3.7216808268443478,8.269415359143666,0,13
android,low,2023-02,0,1,3872.3333333333335,0.1485323233192735,0.31212733289947586,3.285029135577519,8.261870741737793,0,14
android,low,2023-03,0,1,564.0,0.0700354609929078,0.24116400086190268,2.8391570143829146,6.336825731146441,0,15
apache-spark,low,2022-01,0,0,507.83333333333337,0.40531670495569405,0.5873398338097031,5.716627247264863,6.232120523506823,0,1
apache-spark,low,2022-02,0,0,506.0833333333333,0.39403918985674297,0.5826356812947497,5.648371692233894,6.228675355633627,0,2
apache-spark,low,2022-03,0,0,622.8333333333333,0.24244046026224247,0.40321819994064706,5.174629463268884,6.435883238676374,0,3
apache-spark,low,2022-04,0,0,556.1666666666666,0.2605633802816901,0.44453534767707564,5.1783236376644535,6.322864417192044,0,4
apache-spark,low,2022-05,0,0,628.8333333333333,0.2706069440763319,0.43746955627472855,4.98545666472266,6.445455234121434,0,5
apache-spark,low,2022-06,0,0,606.1666666666666,0.30904591696453126,0.47505861755242024,4.8511858373386625,6.408803327780508,0,6
apache-spark,low,2022-07,0,0,592.4166666666666,0.30637220424813616,0.46411125254168883,4.742190158004386,6.3858967941941245,0,7
apache-spark,low,2022-08,0,0,573.25,0.2866695740659979,0.46038818600908454,4.671974475775348,6.353064841569208,0,8
apache-spark,low,2022-09,0,0,535.8333333333334,0.26469673405909794,0.42989552871257264,4.417219463185278,6.285687680103144,0,9
apache-spark,low,2022-10,0,0,593.5833333333333,0.33918292854134496,0.4860191991528925,4.344275270258406,6.387860880122936,0,10
apache-spark,low,2022-11,0,0,566.5,0.25831126802000587,0.4095261007031721,4.072481289543033,6.341240749355558,0,11
apache-spark,low,2022-12,0,1,493.16666666666674,0.24163568773234195,0.4693401334254603,4.096639877278146,6.202872842203771,0,12
