complexity_tercile,outcome,coef_brand_new_vs_established,se,pval,nobs
low,first_answer_1d,0.016831648061382386,0.004222570022985493,6.72565045023692e-05,51598
low,score,-0.2108933777479838,0.03791501367870993,2.6761247536339353e-08,51598
low,is_current_accepted_answer,-0.05079430956394715,0.003444807770927134,4.1619656022970514e-49,51598
low,accepted_30d,-0.03361458063769329,0.003575584558728022,5.610314216462969e-21,51598
mid,first_answer_1d,0.025350627147488033,0.004276208172320077,3.080367310282938e-09,51600
mid,score,-0.17926262116159117,0.027935156779973342,1.4009888002945403e-10,51600
mid,is_current_accepted_answer,-0.05645491617932055,0.003548864349958837,7.633132858593189e-57,51600
mid,accepted_30d,-0.03694922651775158,0.0037585459997423543,8.694345400305745e-23,51600
high,first_answer_1d,0.014016780760809982,0.004439714397927155,0.0015941897508967996,51596
high,score,-0.249205080689475,0.04225290691727242,3.703584031437558e-09,51596
high,is_current_accepted_answer,-0.06661613989322818,0.003728201968684062,3.4259462190335008e-71,51596
high,accepted_30d,-0.051161951992289234,0.0039781503379692235,8.559239008381485e-38,51596
