tag_family,outcome,coef_brand_new_vs_established,pval,nobs
data_scripting,accepted_30d,-0.050970179781747865,3.1324874441542214e-54,66232
systems_infra,accepted_30d,-0.044446495895217,3.297015373931225e-12,22923
application_framework,accepted_30d,-0.028548836066371926,3.039832488290994e-18,65639
systems_infra,first_answer_1d,-0.042571268031063134,5.4746359499841256e-09,22923
data_scripting,first_answer_1d,0.015649044925680797,2.2090798711114273e-05,66232
application_framework,first_answer_1d,0.038467082980727416,6.52056972931447e-24,65639
systems_infra,is_current_accepted_answer,-0.06436891372926053,3.9839401290506094e-26,22923
data_scripting,is_current_accepted_answer,-0.06349666766912027,1.594729008026253e-91,66232
application_framework,is_current_accepted_answer,-0.049838771752410596,5.9270427952979615e-59,65639
data_scripting,score,-0.2551628537358181,1.52727317683993e-19,66232
application_framework,score,-0.18921598736472045,2.312743271195462e-09,65639
systems_infra,score,-0.14198449247110595,0.0634185080058656,22923
