family,outcome,formula,term,coef,se,pval,nobs
binary,any_answer_7d_rate,any_answer_7d_rate ~ high_post + established_cross_tag_share + residual_queue_complexity_index_mean + established_cross_tag_share:residual_queue_complexity_index_mean + C(primary_tag):time_index + C(primary_tag) + C(month_id),high_post,-0.016076018689047896,0.009967042451948478,0.12759837013319417,1145
binary,any_answer_7d_rate,any_answer_7d_rate ~ high_post + established_cross_tag_share + residual_queue_complexity_index_mean + established_cross_tag_share:residual_queue_complexity_index_mean + C(primary_tag):time_index + C(primary_tag) + C(month_id),established_cross_tag_share,-0.11381924144615263,0.032275507480987564,0.00305299718707426,1145
binary,any_answer_7d_rate,any_answer_7d_rate ~ high_post + established_cross_tag_share + residual_queue_complexity_index_mean + established_cross_tag_share:residual_queue_complexity_index_mean + C(primary_tag):time_index + C(primary_tag) + C(month_id),residual_queue_complexity_index_mean,-0.2750559909360179,0.12058042547624961,0.037570470855505814,1145
binary,any_answer_7d_rate,any_answer_7d_rate ~ high_post + established_cross_tag_share + residual_queue_complexity_index_mean + established_cross_tag_share:residual_queue_complexity_index_mean + C(primary_tag):time_index + C(primary_tag) + C(month_id),established_cross_tag_share:residual_queue_complexity_index_mean,0.5093302596727698,0.2092165278088059,0.027878695326769055,1145
binary,first_positive_answer_latency_mean,first_positive_answer_latency_mean ~ high_post + established_cross_tag_share + residual_queue_complexity_index_mean + established_cross_tag_share:residual_queue_complexity_index_mean + C(primary_tag):time_index + C(primary_tag) + C(month_id),high_post,65.51453917371605,22.350820373484726,0.010320313252975527,1142
binary,first_positive_answer_latency_mean,first_positive_answer_latency_mean ~ high_post + established_cross_tag_share + residual_queue_complexity_index_mean + established_cross_tag_share:residual_queue_complexity_index_mean + C(primary_tag):time_index + C(primary_tag) + C(month_id),established_cross_tag_share,221.28413811102422,83.10704546192399,0.017737449320310135,1142
binary,first_positive_answer_latency_mean,first_positive_answer_latency_mean ~ high_post + established_cross_tag_share + residual_queue_complexity_index_mean + established_cross_tag_share:residual_queue_complexity_index_mean + C(primary_tag):time_index + C(primary_tag) + C(month_id),residual_queue_complexity_index_mean,645.2367380997866,325.40583658683886,0.0660032336081405,1142
binary,first_positive_answer_latency_mean,first_positive_answer_latency_mean ~ high_post + established_cross_tag_share + residual_queue_complexity_index_mean + established_cross_tag_share:residual_queue_complexity_index_mean + C(primary_tag):time_index + C(primary_tag) + C(month_id),established_cross_tag_share:residual_queue_complexity_index_mean,-1074.4198413715987,493.2097266511085,0.04573805301475643,1142
binary,accepted_vote_30d_rate,accepted_vote_30d_rate ~ high_post + established_cross_tag_share + residual_queue_complexity_index_mean + established_cross_tag_share:residual_queue_complexity_index_mean + C(primary_tag):time_index + C(primary_tag) + C(month_id),high_post,0.003708737047997027,0.002417979877883242,0.14589402001251897,1138
binary,accepted_vote_30d_rate,accepted_vote_30d_rate ~ high_post + established_cross_tag_share + residual_queue_complexity_index_mean + established_cross_tag_share:residual_queue_complexity_index_mean + C(primary_tag):time_index + C(primary_tag) + C(month_id),established_cross_tag_share,0.020402642651525766,0.01695867071102174,0.24759091854054371,1138
binary,accepted_vote_30d_rate,accepted_vote_30d_rate ~ high_post + established_cross_tag_share + residual_queue_complexity_index_mean + established_cross_tag_share:residual_queue_complexity_index_mean + C(primary_tag):time_index + C(primary_tag) + C(month_id),residual_queue_complexity_index_mean,0.10534970874666556,0.039556178397066294,0.017714282131802473,1138
