primary_tag,preshock_incumbent_stock,preshock_expert_stock,preshock_local_nonexpert_stock,preshock_active_bench,preshock_answerer_depth,thin_local_depth
numpy,84,11,73,0.18775510204081633,42.0,1.2120175137738296
memory-management,73,7,66,0.225440313111546,36.5,1.1024218974753672
apache-spark,448,109,339,0.16511479591836734,224.0,0.4582457891116281
pandas,419,102,317,0.17927037163314014,209.5,0.4144515820858475
firebase,632,96,536,0.16148282097649183,316.0,0.3473692456154072
kubernetes,596,149,447,0.17061361457334606,298.0,0.2843338881422866
docker,825,140,685,0.16329004329004324,412.5,0.19470583386964904
multithreading,382,59,323,0.23605086013462978,191.0,0.1902033556499623
regex,629,137,492,0.2311151487622076,314.5,-0.06085124655000007
linux,551,122,429,0.24464609800362977,275.5,-0.06992973436731488
bash,513,152,361,0.25441381230854915,256.5,-0.10869897035779581
excel,968,276,692,0.1971959858323494,484.0,-0.1110823861104834
sql,2504,651,1853,0.1992240985851209,1252.0,-0.5896004478659894
android,5159,915,4244,0.14998477002741392,2579.5,-0.6509533024530201
javascript,19604,3802,15802,0.14371119596583784,9802.0,-1.2911402883498289
python,18976,4168,14808,0.15034479643459403,9488.0,-1.321492729669545
