test_block,family,outcome,term,coef,se,pval,nobs,mean_outcome
durability_within_established,binary,return_365d,high_post,-0.02150022781743836,0.009631716998738023,0.02559962719838232,975,0.17580184316317912
durability_within_established,continuous,return_365d,exposure_post,-0.012904331886583987,0.004283496670264949,0.002590460190428636,975,0.17580184316317912
durability_within_established,binary,one_shot_365d,high_post,0.02150022781743741,0.009631716998738223,0.025599627198391914,975,0.8241981568368208
durability_within_established,continuous,one_shot_365d,exposure_post,0.012904331886583527,0.00428349667026494,0.002590460190429499,975,0.8241981568368208
durability_within_established,binary,answers_365d,high_post,0.570976383879117,0.627668694458133,0.36299236552731695,975,1.818782262321685
durability_within_established,continuous,answers_365d,exposure_post,0.5223011065568692,0.22576776753344538,0.02069823559957305,975,1.818782262321685
durability_within_established,binary,active_months_365d,high_post,0.0035564440182716053,0.03955754719535034,0.9283622510460986,975,1.2450167660787352
durability_within_established,continuous,active_months_365d,exposure_post,0.032626800975207385,0.012076517959042937,0.006899160434549512,975,1.2450167660787352
durability_within_established,binary,low_repeat_90d,high_post,0.008489948822305929,0.0043957308696313275,0.05343264317797749,1122,0.9529341278388922
durability_within_established,continuous,low_repeat_90d,exposure_post,0.003983586788017144,0.002111514755832285,0.059213952369808164,1122,0.9529341278388922
