primary_tag,entry_month,time_index,post_chatgpt,exposure_index,high_tag,n_eligible_entrants,established_one_shot_share_365d,established_repeat_share_365d,established_total_share_365d,high_post,exposure_post
android,2020-01,1,0,-0.5824723369899437,0,2610,0.3425287356321839,0.4567049808429119,0.7992337164750958,0,-0.0
android,2020-02,2,0,-0.5824723369899437,0,2122,0.41328934967012254,0.34967012252591895,0.7629594721960414,0,-0.0
android,2020-03,3,0,-0.5824723369899437,0,2156,0.4109461966604824,0.32142857142857145,0.7323747680890538,0,-0.0
android,2020-04,4,0,-0.5824723369899437,0,2219,0.42045966651644884,0.2785038305543037,0.6989634970707526,0,-0.0
android,2020-05,5,0,-0.5824723369899437,0,2216,0.4250902527075812,0.2572202166064982,0.6823104693140795,0,-0.0
android,2020-06,6,0,-0.5824723369899437,0,2028,0.4551282051282051,0.22189349112426035,0.6770216962524654,0,-0.0
android,2020-07,7,0,-0.5824723369899437,0,1918,0.46663190823774764,0.22523461939520334,0.691866527632951,0,-0.0
android,2020-08,8,0,-0.5824723369899437,0,1774,0.45377677564825253,0.21758737316798196,0.6713641488162345,0,-0.0
android,2020-09,9,0,-0.5824723369899437,0,1665,0.46126126126126127,0.21441441441441442,0.6756756756756757,0,-0.0
android,2020-10,10,0,-0.5824723369899437,0,1700,0.4641176470588235,0.21352941176470588,0.6776470588235294,0,-0.0
android,2020-11,11,0,-0.5824723369899437,0,1536,0.4596354166666667,0.19921875,0.6588541666666666,0,-0.0
android,2020-12,12,0,-0.5824723369899437,0,1497,0.46025384101536404,0.21576486305945225,0.6760187040748163,0,-0.0
android,2021-01,13,0,-0.5824723369899437,0,1560,0.45,0.19294871794871796,0.642948717948718,0,-0.0
android,2021-02,14,0,-0.5824723369899437,0,1408,0.44957386363636365,0.2059659090909091,0.6555397727272727,0,-0.0
android,2021-03,15,0,-0.5824723369899437,0,1506,0.46215139442231074,0.17861885790172644,0.6407702523240372,0,-0.0
android,2021-04,16,0,-0.5824723369899437,0,1401,0.483226266952177,0.16416845110635261,0.6473947180585297,0,-0.0
