tool_families,n_events
chatgpt,1295
openai,335
(none),177
gpt_family;openai,171
ai_generated;chatgpt,122
gemini,90
copilot,78
chatgpt;gpt_family;openai,55
gpt_family,54
chatgpt;openai,43
llm,42
llm;openai,35
ai_generated,33
gpt_family;llm;openai,27
claude,20
chatgpt;gemini,18
chatgpt;llm,11
chatgpt;copilot,10
gpt_family;llm,8
gemini;llm,6
chatgpt;claude,6
ai_generated;openai,5
gemini;openai,5
chatgpt;gpt_family,4
copilot;gpt_family,4
chatgpt;llm;openai,4
anthropic;claude,4
chatgpt;gpt_family;llm;openai,3
chatgpt;gpt_family;llm,3
bard;chatgpt,3
claude;llm,3
gemini;llm;openai,3
copilot;gemini,3
deepseek;llm,3
ai_generated;gpt_family;openai,2
ai_generated;chatgpt;gpt_family;llm,2
ai_generated;chatgpt;copilot,2
chatgpt;claude;llm,2
ai_generated;chatgpt;gpt_family;openai,2
ai_generated;chatgpt;openai,2
chatgpt;copilot;openai,2
anthropic;claude;llm,2
deepseek,2
chatgpt;deepseek,2
chatgpt;copilot;llm;openai,2
chatgpt;gemini;openai,2
ai_generated;chatgpt;llm;openai,1
ai_generated;chatgpt;gpt_family;llm;openai,1
copilot;gpt_family;openai,1
claude;gemini;llm;openai,1
anthropic;llm;openai,1
claude;gpt_family;openai,1
chatgpt;copilot;gemini,1
chatgpt;claude;gemini;llm,1
copilot;gpt_family;llm,1
chatgpt;claude;deepseek,1
ai_generated;llm,1
chatgpt;deepseek;openai,1
chatgpt;claude;gemini;openai,1
gemini;gpt_family;openai,1
claude;copilot,1
anthropic;claude;gemini;llm,1
claude;gemini,1
