treated_user_id,control_user_id,first_direct_ai_month_index,first_direct_ai_month,distance
3030243,40064,618,2021-07,0.0
54680,23528,635,2022-12,0.0
238704,1968,635,2022-12,0.0
349130,6610,635,2022-12,0.0
441757,21061,635,2022-12,0.0
20037042,14672114,635,2022-12,0.000703708691466594
968273,749515,636,2023-01,0.0
2306481,17300,636,2023-01,0.0
7424038,748503,636,2023-01,0.00020806504652559138
544825,7430727,637,2023-02,0.00031205830170616487
2887218,6388552,638,2023-03,0.0
8207701,1367705,638,2023-03,0.017337155539278396
15912354,306296,638,2023-03,0.537255528797626
21407890,331059,638,2023-03,0.5372600207270444
181691,3848,639,2023-04,0.5304768796303398
2227743,173937,639,2023-04,0.5304814458687762
3018860,260,639,2023-04,0.0
4766130,257299,639,2023-04,0.5304908351871175
5625547,1762224,639,2023-04,0.0711873155865971
6223536,303056,639,2023-04,0.5305048781756598
14281933,4713905,639,2023-04,0.017343212798946087
21693461,606006,639,2023-04,0.5304897753567295
374277,3848,640,2023-05,0.527727394545046
4401979,173937,640,2023-05,0.527729938517817
7212686,10789207,640,2023-05,0.0
7942553,10715551,640,2023-05,0.0
13045193,7297700,640,2023-05,0.00565739774468994
14283885,17637456,640,2023-05,0.02869465751731455
17068230,257299,640,2023-05,0.527720992443657
471272,24039,641,2023-06,0.5319853559151826
4536580,1013,641,2023-06,0.0
4657412,6908895,641,2023-06,0.0009023490778624055
4711170,32584,641,2023-06,0.5319725020339076
11107541,128165,641,2023-06,0.0
11810933,6349751,641,2023-06,0.0020575927358587077
12349101,9330780,641,2023-06,0.017666413320390317
19819407,962987,641,2023-06,0.0
22071689,159508,641,2023-06,0.531974431121666
22072213,220255,641,2023-06,0.5319797997170516
2207330,63621,642,2023-07,0.5334926990837824
9442277,173922,642,2023-07,0.5334928763535461
9824877,230468,642,2023-07,0.5334986565614365
10568531,5597037,642,2023-07,0.0
10787891,3377387,642,2023-07,0.0
13279874,235921,642,2023-07,0.5334977354941169
20468194,266185,642,2023-07,0.5335035161135361
22235282,401041,642,2023-07,0.5335092968598059
22260840,561243,642,2023-07,0.5335150777329316
3700993,5483526,643,2023-08,0.008029332965018152
6271167,230468,643,2023-08,0.5383906639023017
22328203,235921,643,2023-08,0.5383918071804994
295783,19068,645,2023-10,0.03914516931282991
6243352,7366100,645,2023-10,0.0016571096463524294
6938986,9479,645,2023-10,0.0
14999075,5816253,645,2023-10,0.0
17623211,649920,645,2023-10,0.0
1745001,6890912,646,2023-11,0.0024578597264352724
1977614,191246,646,2023-11,0.0
1086398,16462950,647,2023-12,0.0
2687250,1052,647,2023-12,0.0
5298879,3043,647,2023-12,0.03004522547592945
16258657,983733,647,2023-12,0.0
1530836,49132,648,2024-01,0.0
22288319,5838565,648,2024-01,0.0
277368,12115778,649,2024-02,0.027090396817422126
1924266,293878,651,2024-04,0.0
2386774,2001654,651,2024-04,0.003453772926824015
446594,905,652,2024-05,0.0
978005,11047,652,2024-05,0.0
3757232,3744304,653,2024-06,0.009127063803603069
4269851,1028270,653,2024-06,0.01922546510003861
8271180,7700802,653,2024-06,0.0
1497139,165753,654,2024-07,0.0
258174,6225326,655,2024-08,0.0
2810305,1527,655,2024-08,0.0
9568358,521624,657,2024-10,0.0
15701327,5021945,657,2024-10,0.3992760248849674
18794826,11695049,657,2024-10,0.010549270314564591
243373,10397,658,2024-11,0.0
23758142,1622,658,2024-11,0.0
51685,1126841,660,2025-01,0.05818555969860426
14132036,315734,660,2025-01,0.0
376947,138601,661,2025-02,0.0
21258842,176269,662,2025-03,0.0
9401029,13675,666,2025-07,0.0
11137348,3127028,666,2025-07,0.0
1089161,4541045,667,2025-08,0.0
17371427,229939,667,2025-08,0.0
5292951,9435714,668,2025-09,0.0
