treated_user_id,control_user_id,first_direct_ai_month_index,first_direct_ai_month,distance
12491964,672305,617,2021-06,0.0
13710015,14677435,619,2021-08,0.3522364363062894
12361037,14343,623,2021-12,0.0
1595451,2627243,635,2022-12,0.0002366445200038109
4684797,5659025,635,2022-12,0.09125668002996734
10601203,1739193,635,2022-12,0.000679103834424705
10669875,100297,635,2022-12,0.0
19311647,6976,635,2022-12,0.0
695364,8845480,636,2023-01,0.0008192736908195169
743464,78738,636,2023-01,0.0
1650337,322084,636,2023-01,0.0
2016831,29467,636,2023-01,0.0
18128408,15610685,636,2023-01,0.0
20234674,1224,636,2023-01,0.0
224132,16895640,637,2023-02,0.010496863305555621
246724,339070,637,2023-02,0.0
328193,519413,637,2023-02,0.001294899760839162
753632,668320,637,2023-02,0.0
874188,4834,637,2023-02,0.001145649211357278
3689450,322084,637,2023-02,0.0
4642212,143475,637,2023-02,0.0
16343464,1863229,637,2023-02,0.06417458155876146
4872140,1527,638,2023-03,0.0
6126373,6225326,638,2023-03,0.0
10410243,92312,638,2023-03,0.0
14790056,15581952,638,2023-03,0.05223533677400792
269970,159145,639,2023-04,0.004284207872785661
354577,2897748,639,2023-04,0.01542978522594192
2442804,165216,639,2023-04,0.0
11920613,3848,639,2023-04,0.5301809722947212
20258857,260,639,2023-04,0.0
21239448,21168982,639,2023-04,6.467948901778828e-31
21536249,5957,639,2023-04,0.0
21653122,173937,639,2023-04,0.5301900365967055
740553,19757319,640,2023-05,0.09491616610242434
998070,1028237,640,2023-05,0.0
1467914,18043699,640,2023-05,0.0032347211420519517
1850385,3848,640,2023-05,0.5274433574532019
3776858,3357677,640,2023-05,7.81660863314092e-05
3959875,711902,640,2023-05,0.0
4961700,12231984,640,2023-05,0.031887521490505145
11708742,5581091,640,2023-05,0.0
14287635,173937,640,2023-05,0.5274226702892023
14853083,223992,640,2023-05,0.0
15152406,257299,640,2023-05,0.5274101242074156
19852213,3561,640,2023-05,0.0
20464992,10598318,640,2023-05,0.0
21643452,303056,640,2023-05,0.5274110556325845
133280,24039,641,2023-06,0.5315733922389685
765091,208880,641,2023-06,0.0
987358,130288,641,2023-06,0.0
1703708,32584,641,2023-06,0.5315511409875606
3596233,345859,641,2023-06,0.0
4926757,7254633,641,2023-06,0.0022762396966974183
6306782,159508,641,2023-06,0.5315461333749688
15268848,512480,641,2023-06,0.21461295356769272
19395617,5345799,641,2023-06,0.0
21044347,220255,641,2023-06,0.531549017003156
22062598,400119,641,2023-06,0.5315543826872045
22135054,607453,641,2023-06,0.5315597484809307
1362755,2988,642,2023-07,0.0
2602877,5086255,642,2023-07,0.0
4621513,234593,642,2023-07,0.0
10934636,843732,642,2023-07,0.0
18027460,63621,642,2023-07,0.5330190761510181
19634193,173922,642,2023-07,0.5330248528800288
20930497,352157,642,2023-07,0.0
22248421,230468,642,2023-07,0.5330380455942751
22307338,235921,642,2023-07,0.5330438227193386
466862,13302,643,2023-08,0.0
1858357,62937,643,2023-08,0.0
2357112,1186624,643,2023-08,0.0
7929036,2314737,643,2023-08,0.0
15430546,354051,644,2023-09,0.0
19068,295783,645,2023-10,0.04073915371813831
2013747,297150,645,2023-10,0.0
6273251,48503,645,2023-10,0.0
17814265,1379059,645,2023-10,0.0
19782462,250962,645,2023-10,0.0
522444,2385,646,2023-11,0.0
523612,37213,646,2023-11,0.0
14102903,3514,646,2023-11,0.0
1048572,9758194,647,2023-12,0.003513533731805021
4390160,130288,647,2023-12,0.0
9375274,1263134,647,2023-12,0.0
21859039,20712,647,2023-12,0.0
22707127,106019,647,2023-12,0.0
3180489,2075944,648,2024-01,0.0
22234599,8362,648,2024-01,0.0
301514,5768335,649,2024-02,0.01836301598901194
3986005,8807231,649,2024-02,0.0
7366100,10802527,649,2024-02,0.0009083466130139893
11065874,3357352,649,2024-02,0.405061781781678
12671057,494134,649,2024-02,0.008698483858873104
20362050,20878819,649,2024-02,0.04102357242059019
23088341,23252,649,2024-02,0.0
14122,16462878,650,2024-03,0.3993419318642751
10054910,881712,650,2024-03,0.0
14883879,216464,650,2024-03,0.0
455796,116906,651,2024-04,0.0
683329,4794,651,2024-04,0.0
2437514,38368,651,2024-04,0.0
18307027,6478045,651,2024-04,0.0
674039,9501624,652,2024-05,0.0
675750,190803,652,2024-05,0.0
15175426,1224482,652,2024-05,0.0
19475185,2904896,653,2024-06,0.0
2029983,12659872,654,2024-07,0.0
9940225,771897,654,2024-07,0.0
25818986,1755,654,2024-07,0.0
521624,438273,655,2024-08,0.0
25147575,3272,655,2024-08,0.0
10292330,13107804,656,2024-09,0.0
12939557,7976758,656,2024-09,0.004955215045574904
209103,807126,657,2024-10,0.3340634252518665
3066077,4323,657,2024-10,0.0
16461952,1766831,658,2024-11,0.0026307384741477728
25585312,2518,658,2024-11,0.0
218663,4834,659,2024-12,0.0
1255289,204723,659,2024-12,0.0
5389127,12638118,660,2025-01,0.0
1371131,125212,662,2025-03,0.0
11063709,497649,665,2025-06,0.0
67579,235698,666,2025-07,0.007307204242965366
609290,15745105,666,2025-07,0.5280522240984652
5633214,267265,668,2025-09,0.0
7607190,61305,671,2025-12,0.0
