month_id,month_dt,tag_family,availability_any_binary,availability_full_binary,availability_stage_max,availability_stage_sum,active_tool_count_any,active_tool_count_full,active_tool_keys_any,active_cross_cutting_tool_count_any,active_family_specific_tool_count_any,candidate_tool_count_mapped,source_backed_tool_count_mapped,first_any_available_month,first_full_available_month,first_family_specific_available_month
2020-01,2020-01-01,application_framework,0,0,0.0,0.0,0,0,,0,0,11,4,2022-06,2022-06,2024-04
2020-02,2020-02-01,application_framework,0,0,0.0,0.0,0,0,,0,0,11,4,2022-06,2022-06,2024-04
2020-03,2020-03-01,application_framework,0,0,0.0,0.0,0,0,,0,0,11,4,2022-06,2022-06,2024-04
2020-04,2020-04-01,application_framework,0,0,0.0,0.0,0,0,,0,0,11,4,2022-06,2022-06,2024-04
2020-05,2020-05-01,application_framework,0,0,0.0,0.0,0,0,,0,0,11,4,2022-06,2022-06,2024-04
2020-06,2020-06-01,application_framework,0,0,0.0,0.0,0,0,,0,0,11,4,2022-06,2022-06,2024-04
2020-07,2020-07-01,application_framework,0,0,0.0,0.0,0,0,,0,0,11,4,2022-06,2022-06,2024-04
2020-08,2020-08-01,application_framework,0,0,0.0,0.0,0,0,,0,0,11,4,2022-06,2022-06,2024-04
2020-09,2020-09-01,application_framework,0,0,0.0,0.0,0,0,,0,0,11,4,2022-06,2022-06,2024-04
2020-10,2020-10-01,application_framework,0,0,0.0,0.0,0,0,,0,0,11,4,2022-06,2022-06,2024-04
2020-11,2020-11-01,application_framework,0,0,0.0,0.0,0,0,,0,0,11,4,2022-06,2022-06,2024-04
2020-12,2020-12-01,application_framework,0,0,0.0,0.0,0,0,,0,0,11,4,2022-06,2022-06,2024-04
2021-01,2021-01-01,application_framework,0,0,0.0,0.0,0,0,,0,0,11,4,2022-06,2022-06,2024-04
2021-02,2021-02-01,application_framework,0,0,0.0,0.0,0,0,,0,0,11,4,2022-06,2022-06,2024-04
2021-03,2021-03-01,application_framework,0,0,0.0,0.0,0,0,,0,0,11,4,2022-06,2022-06,2024-04
2021-04,2021-04-01,application_framework,0,0,0.0,0.0,0,0,,0,0,11,4,2022-06,2022-06,2024-04
2021-05,2021-05-01,application_framework,0,0,0.0,0.0,0,0,,0,0,11,4,2022-06,2022-06,2024-04
2021-06,2021-06-01,application_framework,0,0,0.0,0.0,0,0,,0,0,11,4,2022-06,2022-06,2024-04
2021-07,2021-07-01,application_framework,0,0,0.0,0.0,0,0,,0,0,11,4,2022-06,2022-06,2024-04
2021-08,2021-08-01,application_framework,0,0,0.0,0.0,0,0,,0,0,11,4,2022-06,2022-06,2024-04
2021-09,2021-09-01,application_framework,0,0,0.0,0.0,0,0,,0,0,11,4,2022-06,2022-06,2024-04
2021-10,2021-10-01,application_framework,0,0,0.0,0.0,0,0,,0,0,11,4,2022-06,2022-06,2024-04
2021-11,2021-11-01,application_framework,0,0,0.0,0.0,0,0,,0,0,11,4,2022-06,2022-06,2024-04
2021-12,2021-12-01,application_framework,0,0,0.0,0.0,0,0,,0,0,11,4,2022-06,2022-06,2024-04
2022-01,2022-01-01,application_framework,0,0,0.0,0.0,0,0,,0,0,11,4,2022-06,2022-06,2024-04
2022-02,2022-02-01,application_framework,0,0,0.0,0.0,0,0,,0,0,11,4,2022-06,2022-06,2024-04
2022-03,2022-03-01,application_framework,0,0,0.0,0.0,0,0,,0,0,11,4,2022-06,2022-06,2024-04
2022-04,2022-04-01,application_framework,0,0,0.0,0.0,0,0,,0,0,11,4,2022-06,2022-06,2024-04
2022-05,2022-05-01,application_framework,0,0,0.0,0.0,0,0,,0,0,11,4,2022-06,2022-06,2024-04
2022-06,2022-06-01,application_framework,1,1,1.0,1.0,1,1,github_copilot_ide,1,0,11,4,2022-06,2022-06,2024-04
2022-07,2022-07-01,application_framework,1,1,1.0,1.0,1,1,github_copilot_ide,1,0,11,4,2022-06,2022-06,2024-04
2022-08,2022-08-01,application_framework,1,1,1.0,1.0,1,1,github_copilot_ide,1,0,11,4,2022-06,2022-06,2024-04
2022-09,2022-09-01,application_framework,1,1,1.0,1.0,1,1,github_copilot_ide,1,0,11,4,2022-06,2022-06,2024-04
2022-10,2022-10-01,application_framework,1,1,1.0,1.0,1,1,github_copilot_ide,1,0,11,4,2022-06,2022-06,2024-04
2022-11,2022-11-01,application_framework,1,1,1.0,1.0,1,1,github_copilot_ide,1,0,11,4,2022-06,2022-06,2024-04
2022-12,2022-12-01,application_framework,1,1,1.0,1.0,1,1,github_copilot_ide,1,0,11,4,2022-06,2022-06,2024-04
2023-01,2023-01-01,application_framework,1,1,1.0,1.0,1,1,github_copilot_ide,1,0,11,4,2022-06,2022-06,2024-04
2023-02,2023-02-01,application_framework,1,1,1.0,1.0,1,1,github_copilot_ide,1,0,11,4,2022-06,2022-06,2024-04
2023-03,2023-03-01,application_framework,1,1,1.0,1.0,1,1,github_copilot_ide,1,0,11,4,2022-06,2022-06,2024-04
2023-04,2023-04-01,application_framework,1,1,1.0,1.0,1,1,github_copilot_ide,1,0,11,4,2022-06,2022-06,2024-04
2023-05,2023-05-01,application_framework,1,1,1.0,1.0,1,1,github_copilot_ide,1,0,11,4,2022-06,2022-06,2024-04
2023-06,2023-06-01,application_framework,1,1,1.0,1.3,2,1,github_copilot_ide;jetbrains_ai_assistant,2,0,11,4,2022-06,2022-06,2024-04
2023-07,2023-07-01,application_framework,1,1,1.0,1.3,2,1,github_copilot_ide;jetbrains_ai_assistant,2,0,11,4,2022-06,2022-06,2024-04
2023-08,2023-08-01,application_framework,1,1,1.0,1.3,2,1,github_copilot_ide;jetbrains_ai_assistant,2,0,11,4,2022-06,2022-06,2024-04
2023-09,2023-09-01,application_framework,1,1,1.0,1.3,2,1,github_copilot_ide;jetbrains_ai_assistant,2,0,11,4,2022-06,2022-06,2024-04
2023-10,2023-10-01,application_framework,1,1,1.0,1.3,2,1,github_copilot_ide;jetbrains_ai_assistant,2,0,11,4,2022-06,2022-06,2024-04
2023-11,2023-11-01,application_framework,1,1,1.0,1.3,2,1,github_copilot_ide;jetbrains_ai_assistant,2,0,11,4,2022-06,2022-06,2024-04
2023-12,2023-12-01,application_framework,1,1,1.0,2.0,2,2,github_copilot_ide;jetbrains_ai_assistant,2,0,11,4,2022-06,2022-06,2024-04
2024-01,2024-01-01,application_framework,1,1,1.0,2.0,2,2,github_copilot_ide;jetbrains_ai_assistant,2,0,11,4,2022-06,2022-06,2024-04
2024-02,2024-02-01,application_framework,1,1,1.0,2.0,2,2,github_copilot_ide;jetbrains_ai_assistant,2,0,11,4,2022-06,2022-06,2024-04
2024-03,2024-03-01,application_framework,1,1,1.0,2.0,2,2,github_copilot_ide;jetbrains_ai_assistant,2,0,11,4,2022-06,2022-06,2024-04
2024-04,2024-04-01,application_framework,1,1,1.0,2.3,3,2,github_copilot_ide;google_android_studio_gemini;jetbrains_ai_assistant,2,1,11,4,2022-06,2022-06,2024-04
2024-05,2024-05-01,application_framework,1,1,1.0,2.3,3,2,github_copilot_ide;google_android_studio_gemini;jetbrains_ai_assistant,2,1,11,4,2022-06,2022-06,2024-04
2024-06,2024-06-01,application_framework,1,1,1.0,2.3,3,2,github_copilot_ide;google_android_studio_gemini;jetbrains_ai_assistant,2,1,11,4,2022-06,2022-06,2024-04
2024-07,2024-07-01,application_framework,1,1,1.0,2.3,3,2,github_copilot_ide;google_android_studio_gemini;jetbrains_ai_assistant,2,1,11,4,2022-06,2022-06,2024-04
2024-08,2024-08-01,application_framework,1,1,1.0,2.3,3,2,github_copilot_ide;google_android_studio_gemini;jetbrains_ai_assistant,2,1,11,4,2022-06,2022-06,2024-04
2024-09,2024-09-01,application_framework,1,1,1.0,2.3,3,2,github_copilot_ide;google_android_studio_gemini;jetbrains_ai_assistant,2,1,11,4,2022-06,2022-06,2024-04
2024-10,2024-10-01,application_framework,1,1,1.0,3.3,4,3,firebase_ai_logic_sdk;github_copilot_ide;google_android_studio_gemini;jetbrains_ai_assistant,2,2,11,4,2022-06,2022-06,2024-04
2024-11,2024-11-01,application_framework,1,1,1.0,3.3,4,3,firebase_ai_logic_sdk;github_copilot_ide;google_android_studio_gemini;jetbrains_ai_assistant,2,2,11,4,2022-06,2022-06,2024-04
2024-12,2024-12-01,application_framework,1,1,1.0,3.3,4,3,firebase_ai_logic_sdk;github_copilot_ide;google_android_studio_gemini;jetbrains_ai_assistant,2,2,11,4,2022-06,2022-06,2024-04
2025-01,2025-01-01,application_framework,1,1,1.0,3.3,4,3,firebase_ai_logic_sdk;github_copilot_ide;google_android_studio_gemini;jetbrains_ai_assistant,2,2,11,4,2022-06,2022-06,2024-04
2025-02,2025-02-01,application_framework,1,1,1.0,3.3,4,3,firebase_ai_logic_sdk;github_copilot_ide;google_android_studio_gemini;jetbrains_ai_assistant,2,2,11,4,2022-06,2022-06,2024-04
2025-03,2025-03-01,application_framework,1,1,1.0,3.3,4,3,firebase_ai_logic_sdk;github_copilot_ide;google_android_studio_gemini;jetbrains_ai_assistant,2,2,11,4,2022-06,2022-06,2024-04
2025-04,2025-04-01,application_framework,1,1,1.0,3.3,4,3,firebase_ai_logic_sdk;github_copilot_ide;google_android_studio_gemini;jetbrains_ai_assistant,2,2,11,4,2022-06,2022-06,2024-04
2025-05,2025-05-01,application_framework,1,1,1.0,3.3,4,3,firebase_ai_logic_sdk;github_copilot_ide;google_android_studio_gemini;jetbrains_ai_assistant,2,2,11,4,2022-06,2022-06,2024-04
2025-06,2025-06-01,application_framework,1,1,1.0,3.3,4,3,firebase_ai_logic_sdk;github_copilot_ide;google_android_studio_gemini;jetbrains_ai_assistant,2,2,11,4,2022-06,2022-06,2024-04
2025-07,2025-07-01,application_framework,1,1,1.0,3.3,4,3,firebase_ai_logic_sdk;github_copilot_ide;google_android_studio_gemini;jetbrains_ai_assistant,2,2,11,4,2022-06,2022-06,2024-04
2025-08,2025-08-01,application_framework,1,1,1.0,3.3,4,3,firebase_ai_logic_sdk;github_copilot_ide;google_android_studio_gemini;jetbrains_ai_assistant,2,2,11,4,2022-06,2022-06,2024-04
2025-09,2025-09-01,application_framework,1,1,1.0,3.3,4,3,firebase_ai_logic_sdk;github_copilot_ide;google_android_studio_gemini;jetbrains_ai_assistant,2,2,11,4,2022-06,2022-06,2024-04
2025-10,2025-10-01,application_framework,1,1,1.0,3.3,4,3,firebase_ai_logic_sdk;github_copilot_ide;google_android_studio_gemini;jetbrains_ai_assistant,2,2,11,4,2022-06,2022-06,2024-04
2025-11,2025-11-01,application_framework,1,1,1.0,3.3,4,3,firebase_ai_logic_sdk;github_copilot_ide;google_android_studio_gemini;jetbrains_ai_assistant,2,2,11,4,2022-06,2022-06,2024-04
2025-12,2025-12-01,application_framework,1,1,1.0,3.3,4,3,firebase_ai_logic_sdk;github_copilot_ide;google_android_studio_gemini;jetbrains_ai_assistant,2,2,11,4,2022-06,2022-06,2024-04
2020-01,2020-01-01,data_scripting,0,0,0.0,0.0,0,0,,0,0,13,4,2022-06,2022-06,2024-04
2020-02,2020-02-01,data_scripting,0,0,0.0,0.0,0,0,,0,0,13,4,2022-06,2022-06,2024-04
2020-03,2020-03-01,data_scripting,0,0,0.0,0.0,0,0,,0,0,13,4,2022-06,2022-06,2024-04
2020-04,2020-04-01,data_scripting,0,0,0.0,0.0,0,0,,0,0,13,4,2022-06,2022-06,2024-04
2020-05,2020-05-01,data_scripting,0,0,0.0,0.0,0,0,,0,0,13,4,2022-06,2022-06,2024-04
2020-06,2020-06-01,data_scripting,0,0,0.0,0.0,0,0,,0,0,13,4,2022-06,2022-06,2024-04
2020-07,2020-07-01,data_scripting,0,0,0.0,0.0,0,0,,0,0,13,4,2022-06,2022-06,2024-04
2020-08,2020-08-01,data_scripting,0,0,0.0,0.0,0,0,,0,0,13,4,2022-06,2022-06,2024-04
2020-09,2020-09-01,data_scripting,0,0,0.0,0.0,0,0,,0,0,13,4,2022-06,2022-06,2024-04
2020-10,2020-10-01,data_scripting,0,0,0.0,0.0,0,0,,0,0,13,4,2022-06,2022-06,2024-04
2020-11,2020-11-01,data_scripting,0,0,0.0,0.0,0,0,,0,0,13,4,2022-06,2022-06,2024-04
2020-12,2020-12-01,data_scripting,0,0,0.0,0.0,0,0,,0,0,13,4,2022-06,2022-06,2024-04
2021-01,2021-01-01,data_scripting,0,0,0.0,0.0,0,0,,0,0,13,4,2022-06,2022-06,2024-04
2021-02,2021-02-01,data_scripting,0,0,0.0,0.0,0,0,,0,0,13,4,2022-06,2022-06,2024-04
2021-03,2021-03-01,data_scripting,0,0,0.0,0.0,0,0,,0,0,13,4,2022-06,2022-06,2024-04
2021-04,2021-04-01,data_scripting,0,0,0.0,0.0,0,0,,0,0,13,4,2022-06,2022-06,2024-04
2021-05,2021-05-01,data_scripting,0,0,0.0,0.0,0,0,,0,0,13,4,2022-06,2022-06,2024-04
2021-06,2021-06-01,data_scripting,0,0,0.0,0.0,0,0,,0,0,13,4,2022-06,2022-06,2024-04
