month_id,month_dt,tool_key,tag_family,tool_family,vendor,product_surface,channel,coverage_scope,mapping_confidence,current_stage_weight,current_stage,current_event_id,current_event_month,current_source_id,tool_active_any,tool_active_full
2020-01,2020-01-01,github_copilot_ide,data_scripting,ide_copilot,github,github copilot (ide),ide,cross_cutting,medium,0.0,,,,,0,0
2020-02,2020-02-01,github_copilot_ide,data_scripting,ide_copilot,github,github copilot (ide),ide,cross_cutting,medium,0.0,,,,,0,0
2020-03,2020-03-01,github_copilot_ide,data_scripting,ide_copilot,github,github copilot (ide),ide,cross_cutting,medium,0.0,,,,,0,0
2020-04,2020-04-01,github_copilot_ide,data_scripting,ide_copilot,github,github copilot (ide),ide,cross_cutting,medium,0.0,,,,,0,0
2020-05,2020-05-01,github_copilot_ide,data_scripting,ide_copilot,github,github copilot (ide),ide,cross_cutting,medium,0.0,,,,,0,0
2020-06,2020-06-01,github_copilot_ide,data_scripting,ide_copilot,github,github copilot (ide),ide,cross_cutting,medium,0.0,,,,,0,0
2020-07,2020-07-01,github_copilot_ide,data_scripting,ide_copilot,github,github copilot (ide),ide,cross_cutting,medium,0.0,,,,,0,0
2020-08,2020-08-01,github_copilot_ide,data_scripting,ide_copilot,github,github copilot (ide),ide,cross_cutting,medium,0.0,,,,,0,0
2020-09,2020-09-01,github_copilot_ide,data_scripting,ide_copilot,github,github copilot (ide),ide,cross_cutting,medium,0.0,,,,,0,0
2020-10,2020-10-01,github_copilot_ide,data_scripting,ide_copilot,github,github copilot (ide),ide,cross_cutting,medium,0.0,,,,,0,0
2020-11,2020-11-01,github_copilot_ide,data_scripting,ide_copilot,github,github copilot (ide),ide,cross_cutting,medium,0.0,,,,,0,0
2020-12,2020-12-01,github_copilot_ide,data_scripting,ide_copilot,github,github copilot (ide),ide,cross_cutting,medium,0.0,,,,,0,0
2021-01,2021-01-01,github_copilot_ide,data_scripting,ide_copilot,github,github copilot (ide),ide,cross_cutting,medium,0.0,,,,,0,0
2021-02,2021-02-01,github_copilot_ide,data_scripting,ide_copilot,github,github copilot (ide),ide,cross_cutting,medium,0.0,,,,,0,0
2021-03,2021-03-01,github_copilot_ide,data_scripting,ide_copilot,github,github copilot (ide),ide,cross_cutting,medium,0.0,,,,,0,0
2021-04,2021-04-01,github_copilot_ide,data_scripting,ide_copilot,github,github copilot (ide),ide,cross_cutting,medium,0.0,,,,,0,0
2021-05,2021-05-01,github_copilot_ide,data_scripting,ide_copilot,github,github copilot (ide),ide,cross_cutting,medium,0.0,,,,,0,0
2021-06,2021-06-01,github_copilot_ide,data_scripting,ide_copilot,github,github copilot (ide),ide,cross_cutting,medium,0.0,,,,,0,0
2021-07,2021-07-01,github_copilot_ide,data_scripting,ide_copilot,github,github copilot (ide),ide,cross_cutting,medium,0.0,,,,,0,0
2021-08,2021-08-01,github_copilot_ide,data_scripting,ide_copilot,github,github copilot (ide),ide,cross_cutting,medium,0.0,,,,,0,0
2021-09,2021-09-01,github_copilot_ide,data_scripting,ide_copilot,github,github copilot (ide),ide,cross_cutting,medium,0.0,,,,,0,0
2021-10,2021-10-01,github_copilot_ide,data_scripting,ide_copilot,github,github copilot (ide),ide,cross_cutting,medium,0.0,,,,,0,0
2021-11,2021-11-01,github_copilot_ide,data_scripting,ide_copilot,github,github copilot (ide),ide,cross_cutting,medium,0.0,,,,,0,0
2021-12,2021-12-01,github_copilot_ide,data_scripting,ide_copilot,github,github copilot (ide),ide,cross_cutting,medium,0.0,,,,,0,0
2022-01,2022-01-01,github_copilot_ide,data_scripting,ide_copilot,github,github copilot (ide),ide,cross_cutting,medium,0.0,,,,,0,0
2022-02,2022-02-01,github_copilot_ide,data_scripting,ide_copilot,github,github copilot (ide),ide,cross_cutting,medium,0.0,,,,,0,0
2022-03,2022-03-01,github_copilot_ide,data_scripting,ide_copilot,github,github copilot (ide),ide,cross_cutting,medium,0.0,,,,,0,0
2022-04,2022-04-01,github_copilot_ide,data_scripting,ide_copilot,github,github copilot (ide),ide,cross_cutting,medium,0.0,,,,,0,0
2022-05,2022-05-01,github_copilot_ide,data_scripting,ide_copilot,github,github copilot (ide),ide,cross_cutting,medium,0.0,,,,,0,0
2022-06,2022-06-01,github_copilot_ide,data_scripting,ide_copilot,github,github copilot (ide),ide,cross_cutting,medium,1.0,ga,EVT-GH-0001,2022-06,SRC-GH-0001,1,1
2022-07,2022-07-01,github_copilot_ide,data_scripting,ide_copilot,github,github copilot (ide),ide,cross_cutting,medium,1.0,ga,EVT-GH-0001,2022-06,SRC-GH-0001,1,1
2022-08,2022-08-01,github_copilot_ide,data_scripting,ide_copilot,github,github copilot (ide),ide,cross_cutting,medium,1.0,ga,EVT-GH-0001,2022-06,SRC-GH-0001,1,1
2022-09,2022-09-01,github_copilot_ide,data_scripting,ide_copilot,github,github copilot (ide),ide,cross_cutting,medium,1.0,ga,EVT-GH-0001,2022-06,SRC-GH-0001,1,1
2022-10,2022-10-01,github_copilot_ide,data_scripting,ide_copilot,github,github copilot (ide),ide,cross_cutting,medium,1.0,ga,EVT-GH-0001,2022-06,SRC-GH-0001,1,1
2022-11,2022-11-01,github_copilot_ide,data_scripting,ide_copilot,github,github copilot (ide),ide,cross_cutting,medium,1.0,ga,EVT-GH-0001,2022-06,SRC-GH-0001,1,1
2022-12,2022-12-01,github_copilot_ide,data_scripting,ide_copilot,github,github copilot (ide),ide,cross_cutting,medium,1.0,ga,EVT-GH-0001,2022-06,SRC-GH-0001,1,1
2023-01,2023-01-01,github_copilot_ide,data_scripting,ide_copilot,github,github copilot (ide),ide,cross_cutting,medium,1.0,ga,EVT-GH-0001,2022-06,SRC-GH-0001,1,1
2023-02,2023-02-01,github_copilot_ide,data_scripting,ide_copilot,github,github copilot (ide),ide,cross_cutting,medium,1.0,ga,EVT-GH-0001,2022-06,SRC-GH-0001,1,1
2023-03,2023-03-01,github_copilot_ide,data_scripting,ide_copilot,github,github copilot (ide),ide,cross_cutting,medium,1.0,ga,EVT-GH-0001,2022-06,SRC-GH-0001,1,1
