panel,outcome,actual_cutoff_month,actual_coef,actual_se,actual_pval,rank_by_abs_vs_placebos,n_placebos,placebo_months_min,placebo_months_max,weight_col,formula,placebo_month,placebo_coef,placebo_se,placebo_pval
p1_jmis_residual_queue_panel.csv,residual_queue_complexity_index_mean,2022-12,0.05512033694139709,0.013244168504046779,0.0008348499875891613,1,25,2020-06,2022-06,n_questions,residual_queue_complexity_index_mean ~ _hp + C(primary_tag):time_index + C(primary_tag) + C(month_id),,,,
p1_jmis_residual_queue_panel.csv,residual_queue_complexity_index_mean,2022-12,0.05512033694139709,0.013244168504046779,0.0008348499875891613,1,25,,,n_questions,residual_queue_complexity_index_mean ~ _hp + C(primary_tag):time_index + C(primary_tag) + C(month_id),2020-06,-0.02289605238323888,0.008326566374178479,0.014893425480047264
p1_jmis_residual_queue_panel.csv,residual_queue_complexity_index_mean,2022-12,0.05512033694139709,0.013244168504046779,0.0008348499875891613,1,25,,,n_questions,residual_queue_complexity_index_mean ~ _hp + C(primary_tag):time_index + C(primary_tag) + C(month_id),2020-07,-0.024305226553442895,0.008736981798431388,0.013960666034514138
p1_jmis_residual_queue_panel.csv,residual_queue_complexity_index_mean,2022-12,0.05512033694139709,0.013244168504046779,0.0008348499875891613,1,25,,,n_questions,residual_queue_complexity_index_mean ~ _hp + C(primary_tag):time_index + C(primary_tag) + C(month_id),2020-08,-0.024551254008299474,0.008224340530049359,0.009247287279990066
p1_jmis_residual_queue_panel.csv,residual_queue_complexity_index_mean,2022-12,0.05512033694139709,0.013244168504046779,0.0008348499875891613,1,25,,,n_questions,residual_queue_complexity_index_mean ~ _hp + C(primary_tag):time_index + C(primary_tag) + C(month_id),2020-09,-0.026457798274534622,0.008073639139901412,0.005092883396432342
p1_jmis_residual_queue_panel.csv,residual_queue_complexity_index_mean,2022-12,0.05512033694139709,0.013244168504046779,0.0008348499875891613,1,25,,,n_questions,residual_queue_complexity_index_mean ~ _hp + C(primary_tag):time_index + C(primary_tag) + C(month_id),2020-10,-0.03112370327469836,0.00858068519581555,0.0024833266816363633
p1_jmis_residual_queue_panel.csv,residual_queue_complexity_index_mean,2022-12,0.05512033694139709,0.013244168504046779,0.0008348499875891613,1,25,,,n_questions,residual_queue_complexity_index_mean ~ _hp + C(primary_tag):time_index + C(primary_tag) + C(month_id),2020-11,-0.035936343580234904,0.010284298543150737,0.00326150857193211
p1_jmis_residual_queue_panel.csv,residual_queue_complexity_index_mean,2022-12,0.05512033694139709,0.013244168504046779,0.0008348499875891613,1,25,,,n_questions,residual_queue_complexity_index_mean ~ _hp + C(primary_tag):time_index + C(primary_tag) + C(month_id),2020-12,-0.03510600748342011,0.012492883550438427,0.013188670376641488
p1_jmis_residual_queue_panel.csv,residual_queue_complexity_index_mean,2022-12,0.05512033694139709,0.013244168504046779,0.0008348499875891613,1,25,,,n_questions,residual_queue_complexity_index_mean ~ _hp + C(primary_tag):time_index + C(primary_tag) + C(month_id),2021-01,-0.03808680223919637,0.014702285745242547,0.020481093428333076
p1_jmis_residual_queue_panel.csv,residual_queue_complexity_index_mean,2022-12,0.05512033694139709,0.013244168504046779,0.0008348499875891613,1,25,,,n_questions,residual_queue_complexity_index_mean ~ _hp + C(primary_tag):time_index + C(primary_tag) + C(month_id),2021-02,-0.03424454384900912,0.013959572900929479,0.026875976583477894
p1_jmis_residual_queue_panel.csv,residual_queue_complexity_index_mean,2022-12,0.05512033694139709,0.013244168504046779,0.0008348499875891613,1,25,,,n_questions,residual_queue_complexity_index_mean ~ _hp + C(primary_tag):time_index + C(primary_tag) + C(month_id),2021-03,-0.03401243175490407,0.012503771775882225,0.015805845031829337
p1_jmis_residual_queue_panel.csv,residual_queue_complexity_index_mean,2022-12,0.05512033694139709,0.013244168504046779,0.0008348499875891613,1,25,,,n_questions,residual_queue_complexity_index_mean ~ _hp + C(primary_tag):time_index + C(primary_tag) + C(month_id),2021-04,-0.035618687098001055,0.011885635979062243,0.009031679125570801
p1_jmis_residual_queue_panel.csv,residual_queue_complexity_index_mean,2022-12,0.05512033694139709,0.013244168504046779,0.0008348499875891613,1,25,,,n_questions,residual_queue_complexity_index_mean ~ _hp + C(primary_tag):time_index + C(primary_tag) + C(month_id),2021-05,-0.031710383886716965,0.010738455433482891,0.009873555263129519
p1_jmis_residual_queue_panel.csv,residual_queue_complexity_index_mean,2022-12,0.05512033694139709,0.013244168504046779,0.0008348499875891613,1,25,,,n_questions,residual_queue_complexity_index_mean ~ _hp + C(primary_tag):time_index + C(primary_tag) + C(month_id),2021-06,-0.03138151870395444,0.009966106437636887,0.006622262713449439
p1_jmis_residual_queue_panel.csv,residual_queue_complexity_index_mean,2022-12,0.05512033694139709,0.013244168504046779,0.0008348499875891613,1,25,,,n_questions,residual_queue_complexity_index_mean ~ _hp + C(primary_tag):time_index + C(primary_tag) + C(month_id),2021-07,-0.031657791247419395,0.01051404085028544,0.008773934464997319
p1_jmis_residual_queue_panel.csv,residual_queue_complexity_index_mean,2022-12,0.05512033694139709,0.013244168504046779,0.0008348499875891613,1,25,,,n_questions,residual_queue_complexity_index_mean ~ _hp + C(primary_tag):time_index + C(primary_tag) + C(month_id),2021-08,-0.02482052647701454,0.009275484351128897,0.017272050319658158
p1_jmis_residual_queue_panel.csv,residual_queue_complexity_index_mean,2022-12,0.05512033694139709,0.013244168504046779,0.0008348499875891613,1,25,,,n_questions,residual_queue_complexity_index_mean ~ _hp + C(primary_tag):time_index + C(primary_tag) + C(month_id),2021-09,-0.025777531982956618,0.009542107403235925,0.01641097755745416
p1_jmis_residual_queue_panel.csv,residual_queue_complexity_index_mean,2022-12,0.05512033694139709,0.013244168504046779,0.0008348499875891613,1,25,,,n_questions,residual_queue_complexity_index_mean ~ _hp + C(primary_tag):time_index + C(primary_tag) + C(month_id),2021-10,-0.01989160980403107,0.00995055174135691,0.06405807659141428
p1_jmis_residual_queue_panel.csv,residual_queue_complexity_index_mean,2022-12,0.05512033694139709,0.013244168504046779,0.0008348499875891613,1,25,,,n_questions,residual_queue_complexity_index_mean ~ _hp + C(primary_tag):time_index + C(primary_tag) + C(month_id),2021-11,-0.014338241053824334,0.009604126956954069,0.1561905090386016
p1_jmis_residual_queue_panel.csv,residual_queue_complexity_index_mean,2022-12,0.05512033694139709,0.013244168504046779,0.0008348499875891613,1,25,,,n_questions,residual_queue_complexity_index_mean ~ _hp + C(primary_tag):time_index + C(primary_tag) + C(month_id),2021-12,-0.011605044477554224,0.007795864172983541,0.15731023312421913
p1_jmis_residual_queue_panel.csv,residual_queue_complexity_index_mean,2022-12,0.05512033694139709,0.013244168504046779,0.0008348499875891613,1,25,,,n_questions,residual_queue_complexity_index_mean ~ _hp + C(primary_tag):time_index + C(primary_tag) + C(month_id),2022-01,-0.007922994887205617,0.007105044138364838,0.2823455824360623
p1_jmis_residual_queue_panel.csv,residual_queue_complexity_index_mean,2022-12,0.05512033694139709,0.013244168504046779,0.0008348499875891613,1,25,,,n_questions,residual_queue_complexity_index_mean ~ _hp + C(primary_tag):time_index + C(primary_tag) + C(month_id),2022-02,-0.0029079976387163787,0.007086778322229539,0.6873568363384369
p1_jmis_residual_queue_panel.csv,residual_queue_complexity_index_mean,2022-12,0.05512033694139709,0.013244168504046779,0.0008348499875891613,1,25,,,n_questions,residual_queue_complexity_index_mean ~ _hp + C(primary_tag):time_index + C(primary_tag) + C(month_id),2022-03,0.0016140291856895988,0.00884204727402311,0.8576029948570248
p1_jmis_residual_queue_panel.csv,residual_queue_complexity_index_mean,2022-12,0.05512033694139709,0.013244168504046779,0.0008348499875891613,1,25,,,n_questions,residual_queue_complexity_index_mean ~ _hp + C(primary_tag):time_index + C(primary_tag) + C(month_id),2022-04,0.004289179810184461,0.008668590269078154,0.627913099305423
p1_jmis_residual_queue_panel.csv,residual_queue_complexity_index_mean,2022-12,0.05512033694139709,0.013244168504046779,0.0008348499875891613,1,25,,,n_questions,residual_queue_complexity_index_mean ~ _hp + C(primary_tag):time_index + C(primary_tag) + C(month_id),2022-05,0.00924204812548122,0.008711556721662003,0.30552148247280375
p1_jmis_residual_queue_panel.csv,residual_queue_complexity_index_mean,2022-12,0.05512033694139709,0.013244168504046779,0.0008348499875891613,1,25,,,n_questions,residual_queue_complexity_index_mean ~ _hp + C(primary_tag):time_index + C(primary_tag) + C(month_id),2022-06,0.0169973581777488,0.007463758548439224,0.03784534079054524
p1_jmis_residual_queue_panel.csv,brand_new_platform_share,2022-12,0.030050089450070705,0.008853585715612825,0.004005863444441099,1,25,2020-06,2022-06,n_new_answerers_profiles,brand_new_platform_share ~ _hp + C(primary_tag):time_index + C(primary_tag) + C(month_id),,,,
p1_jmis_residual_queue_panel.csv,brand_new_platform_share,2022-12,0.030050089450070705,0.008853585715612825,0.004005863444441099,1,25,,,n_new_answerers_profiles,brand_new_platform_share ~ _hp + C(primary_tag):time_index + C(primary_tag) + C(month_id),2020-06,0.00617866289213632,0.013586919143462097,0.6558004999957232
p1_jmis_residual_queue_panel.csv,brand_new_platform_share,2022-12,0.030050089450070705,0.008853585715612825,0.004005863444441099,1,25,,,n_new_answerers_profiles,brand_new_platform_share ~ _hp + C(primary_tag):time_index + C(primary_tag) + C(month_id),2020-07,0.0014466922651828816,0.012130821361697061,0.9066538419838364
p1_jmis_residual_queue_panel.csv,brand_new_platform_share,2022-12,0.030050089450070705,0.008853585715612825,0.004005863444441099,1,25,,,n_new_answerers_profiles,brand_new_platform_share ~ _hp + C(primary_tag):time_index + C(primary_tag) + C(month_id),2020-08,-0.0005629806934526,0.010963235515424144,0.9597228842314579
p1_jmis_residual_queue_panel.csv,brand_new_platform_share,2022-12,0.030050089450070705,0.008853585715612825,0.004005863444441099,1,25,,,n_new_answerers_profiles,brand_new_platform_share ~ _hp + C(primary_tag):time_index + C(primary_tag) + C(month_id),2020-09,-0.00374020427112669,0.010387236061784443,0.7238092576606837
p1_jmis_residual_queue_panel.csv,brand_new_platform_share,2022-12,0.030050089450070705,0.008853585715612825,0.004005863444441099,1,25,,,n_new_answerers_profiles,brand_new_platform_share ~ _hp + C(primary_tag):time_index + C(primary_tag) + C(month_id),2020-10,-0.003913794492345517,0.009026966689775763,0.6707735386487529
