primary_tag,brand_new_platform_share_0,brand_new_platform_share_1,low_tenure_existing_share_0,low_tenure_existing_share_1,established_cross_tag_share_0,established_cross_tag_share_1,first_answer_1d_rate_0,first_answer_1d_rate_1,accepted_vote_30d_rate_0,accepted_vote_30d_rate_1,exposure_index_0,exposure_index_1,high_tag_0,high_tag_1,brand_new_platform_share_delta,low_tenure_existing_share_delta,established_cross_tag_share_delta,first_answer_1d_rate_delta,accepted_vote_30d_rate_delta
android,0.17032592974687766,0.46139456556543634,0.18234879363656353,0.016613527371833307,0.6473252766165588,0.5219919070627302,0.5560799667376866,0.42576700470630324,0.18930537132850006,0.17404135597463313,-0.5824723369899437,-0.5824723369899437,0,0,0.2910686358185587,-0.16573526626473023,-0.12533336955382857,-0.13031296203138332,-0.015264015353866928
apache-spark,0.10747561269761696,0.3269862734334701,0.1437298548381433,0.013032333676342106,0.7487945324642397,0.6599813928901878,0.5999908249393426,0.4217687277234344,0.23799058005071885,0.1887190583810673,0.6785814699695615,0.6785814699695615,0,0,0.21951066073585312,-0.1306975211618012,-0.0888131395740519,-0.17822209721590826,-0.04927152166965154
bash,0.06951952180266481,0.329747891141383,0.17834791181599174,0.01626351901684908,0.7521325663813433,0.6539885898417679,0.7834503134440762,0.7493909489583483,0.2207063167510105,0.25604350959184713,0.4267372425853595,0.4267372425853595,1,1,0.2602283693387182,-0.16208439279914266,-0.0981439765395754,-0.03405936448572788,0.03533719284083664
docker,0.10819605307928358,0.3161382590600425,0.12817963773179342,0.011674129212443578,0.7636243091889229,0.672187611727514,0.5191445444067645,0.43912398893359333,0.20326754362357402,0.19422976051647584,-2.067518990036933,-2.067518990036933,0,0,0.2079422059807589,-0.11650550851934983,-0.09143669746140892,-0.08002055547317116,-0.009037783107098185
excel,0.12112858864862056,0.5061952390326614,0.2836440920218025,0.02452396960112674,0.5952273193295768,0.46928079136621187,0.6952454499976274,0.7187244727564359,0.19942311682852884,0.22131731856454212,0.5121987286806099,0.5121987286806099,1,1,0.38506665038404086,-0.2591201224206758,-0.12594652796336497,0.023479022758808532,0.02189420173601328
firebase,0.11046909800915607,0.36682068903721976,0.1879982839981476,0.019021129139199205,0.7015326179926963,0.6141581818235811,0.6364150086620696,0.4819748772304413,0.22597304359331843,0.1744808808305303,-0.8269317640104322,-0.8269317640104322,0,0,0.2563515910280637,-0.1689771548589484,-0.08737443616911522,-0.15444013143162827,-0.051492162762788146
javascript,0.17538197941983177,0.4967418072025677,0.21108353715770958,0.01941656094125297,0.6135344834224585,0.48384163185617923,0.7172096740992213,0.5902356587269497,0.18410701620336564,0.18637503604557865,0.484762784788476,0.484762784788476,1,1,0.321359827782736,-0.19166697621645662,-0.1296928515662793,-0.1269740153722716,0.002268019842213004
kubernetes,0.1185760566098292,0.3187808726639377,0.12093899280681306,0.011412733375984668,0.7604849505833576,0.6698063939600777,0.5857576445632691,0.44424750867889884,0.2556407523409688,0.21591047624487542,-1.5867667726106391,-1.5867667726106391,0,0,0.20020481605410848,-0.10952625943082839,-0.09067855662327995,-0.14151013588437023,-0.039730276096093364
linux,0.11177700701106344,0.3354562410471599,0.1832325787838719,0.014616585967303398,0.7049904142050646,0.6499271729855367,0.5549517364661917,0.44060657422137994,0.1898283240153614,0.18623263570778545,-0.3486118221209918,-0.3486118221209918,0,0,0.22367923403609644,-0.1686159928165685,-0.05506324121952788,-0.11434516224481173,-0.0035956883075759505
memory-management,0.03555650298984226,0.25804582959755373,0.14318370439691452,0.01595970354591044,0.8212597926132432,0.7259944668565358,0.6573721250458208,0.5781622891052973,0.186867622372074,0.22331104731467047,-0.522609519626134,-0.522609519626134,0,0,0.22248932660771148,-0.12722400085100408,-0.09526532575670743,-0.07920983594052344,0.036443424942596475
multithreading,0.05091334874295035,0.27574782866493197,0.15664913507798395,0.01468662363138509,0.7924375161790655,0.7095655477036829,0.6528870078034064,0.5981306674884763,0.21500153331747995,0.2192383806976985,-1.0198880283282128,-1.0198880283282128,0,0,0.22483447992198163,-0.14196251144659885,-0.0828719684753827,-0.05475634031493004,0.004236847380218539
numpy,0.06420451024596767,0.3316573762668,0.20609179094361116,0.02128553264916901,0.7297036988104211,0.647057091084031,0.6688596796415357,0.5678154453064976,0.22410700846082368,0.19961496397824363,0.8626457974180449,0.8626457974180449,1,1,0.2674528660208323,-0.18480625829444214,-0.0826466077263901,-0.10104423433503806,-0.02449204448258005
pandas,0.07113283522682616,0.39985215625454,0.25099777663466916,0.02692921676024016,0.6778693881385046,0.5732186269852197,0.7980757929786594,0.7378748533982373,0.20061756631696714,0.17617035929648808,1.1493993062473231,1.1493993062473231,1,1,0.32871932102771384,-0.224068559874429,-0.10465076115328487,-0.06020093958042205,-0.02444720702047906
python,0.22009626658213918,0.5373561518111937,0.2405691364337173,0.02075788553246456,0.5393345969841434,0.44188596265634184,0.6890916842517029,0.5622960143546819,0.19268590428456944,0.19536884917114394,0.3704293899547944,0.3704293899547944,1,1,0.31725988522905446,-0.21981125090125275,-0.0974486343278016,-0.12679566989702096,0.002682944886574501
regex,0.05235494569862935,0.2928285101343112,0.17315339512521818,0.015416085850570842,0.7744916591761524,0.6917554040151178,0.8766590816801775,0.8110687698896654,0.23667700590000998,0.2512341951792708,1.657307329678494,1.657307329678494,1,1,0.24047356443568185,-0.15773730927464735,-0.08273625516103456,-0.06559031179051211,0.014557189279260835
sql,0.12264359302037194,0.41627517145377907,0.2227276042926261,0.01985816330488763,0.654628802687002,0.5638666652413332,0.8420886825839377,0.7966080104214031,0.20237921244194298,0.23714332054201506,0.8127371844006236,0.8127371844006236,1,1,0.29363157843340715,-0.2028694409877385,-0.09076213744566874,-0.0454806721625346,0.03476410810007208
