tag,group,window_id,post_policy,high_tag,n_questions,accepted_rate,answered_share,novice_share,mean_answer_count,mean_log_answers,mean_score,mean_log_views,high_post_policy
bash,high,2022-12-postban,1,1,88,0.5,0.7045454545454546,0.6931818181818182,1.2840909090909092,0.7631883238629338,-0.10227272727272728,5.428331394480565,1
bash,high,2022-12-preban,0,1,92,0.4782608695652174,0.6739130434782609,0.717391304347826,1.2826086956521738,0.7308427558812423,0.7065217391304348,5.513284259872436,0
docker,low,2022-12-postban,1,0,94,0.2978723404255319,0.48936170212765956,0.5425531914893617,0.9893617021276596,0.5951912789890773,1.627659574468085,6.6052395385239215,0
docker,low,2022-12-preban,0,0,93,0.3225806451612903,0.4731182795698925,0.6666666666666666,0.8494623655913979,0.5286286272257731,1.4086021505376345,6.5883132514386835,0
excel-formula,high,2022-12-postban,1,1,34,0.4117647058823529,0.6176470588235294,0.7352941176470589,1.3823529411764706,0.7554100540667249,0.6176470588235294,5.790091823601109,1
excel-formula,high,2022-12-preban,0,1,38,0.47368421052631576,0.631578947368421,0.8157894736842105,1.263157894736842,0.7327578624061577,0.6842105263157895,6.01588637087479,0
kubernetes,low,2022-12-postban,1,0,77,0.35064935064935066,0.6363636363636364,0.6103896103896104,1.155844155844156,0.6937954750735716,1.12987012987013,7.035939503901944,0
kubernetes,low,2022-12-preban,0,0,60,0.31666666666666665,0.5333333333333333,0.55,0.9166666666666666,0.5922326046455161,0.5833333333333334,6.421459629155208,0
memory-management,low,2022-12-postban,1,0,8,0.25,0.25,0.625,0.875,0.5705435239334795,0.5,5.275031394646212,0
memory-management,low,2022-12-preban,0,0,11,0.36363636363636365,0.45454545454545453,0.7272727272727273,0.6363636363636364,0.4149407446788942,0.6363636363636364,5.192451100967123,0
multithreading,low,2022-12-postban,1,0,48,0.3958333333333333,0.5625,0.8541666666666666,0.875,0.5501095811624018,0.9166666666666666,5.430965568747449,0
multithreading,low,2022-12-preban,0,0,52,0.36538461538461536,0.5,0.7692307692307693,0.9423076923076923,0.5955693862935216,1.0384615384615385,5.114062554895867,0
numpy,high,2022-12-postban,1,1,113,0.39823008849557523,0.5575221238938053,0.8495575221238938,1.0176991150442478,0.6288096463492334,0.36283185840707965,5.35999591251235,1
numpy,high,2022-12-preban,0,1,100,0.53,0.71,0.82,1.27,0.7497993556289008,0.44,5.26925476869638,0
powershell,high,2022-12-postban,1,1,123,0.4634146341463415,0.6260162601626016,0.7723577235772358,1.0731707317073171,0.675927615442543,0.4959349593495935,5.927964944812763,1
powershell,high,2022-12-preban,0,1,100,0.54,0.63,0.75,1.03,0.6356107660695891,0.48,5.7422406915718565,0
