rel_month,coef,se,pval,ci_low,ci_high
-18,0.04366544789951306,0.004306881606508134,3.726655194092517e-24,0.03522395995075711,0.052106935848269004
-17,0.05170905030909796,0.009184876473101197,1.8041497671864508e-08,0.03370669242181962,0.0697114081963763
-16,0.05404804265683453,0.007464602706237702,4.4677455219992205e-13,0.03941742135260863,0.06867866396106043
-15,0.046108564553570014,0.00848225920366384,5.452587264770356e-08,0.029483336514388888,0.06273379259275114
-14,0.0379027354770128,0.007308593209895756,2.1480026971605499e-07,0.023577892785617116,0.05222757816840848
-13,0.033368638721404054,0.00561582878259307,2.8175390862543012e-09,0.022361614307521635,0.04437566313528647
-12,0.05232492712911299,0.006196757412885326,3.068678626111063e-17,0.04017928259985775,0.06447057165836823
-11,0.04906914195185426,0.007503545791853996,6.174111038283123e-11,0.034362192199820424,0.0637760917038881
-10,0.03795331327286085,0.003468208490813721,7.162306252617283e-28,0.031155624630865957,0.04475100191485574
-9,0.04390272491088746,0.008678377592745326,4.217633277201985e-07,0.02689310482910662,0.0609123449926683
-8,0.054039683799782336,0.008748882533865205,6.54334435864225e-10,0.03689187403340653,0.07118749356615814
-7,0.05362442979252296,0.007771597428280544,5.198334650505464e-12,0.038392098833093094,0.06885676075195282
-6,0.04458391096311223,0.006904476008740677,1.0662439087567307e-10,0.031051137985980505,0.05811668394024396
-5,0.0510138115964633,0.007536254518766122,1.295679973869239e-11,0.0362427527396817,0.0657848704532449
-4,0.056664033010796186,0.007525421513182783,5.086393508327724e-14,0.04191420684495793,0.07141385917663444
-3,0.05558186015411269,0.009934623530624716,2.2092385537024947e-08,0.03610999803408825,0.07505372227413713
-2,0.044977457887735946,0.011036663287116066,4.595964522418138e-05,0.023345597844988457,0.06660931793048344
0,0.035676334142224896,0.007734193420141378,3.972689816556043e-06,0.020517315038747798,0.05083535324570199
1,0.03972709011731948,0.0095953384500818,3.469290801517384e-05,0.02092022675515915,0.05853395347947981
2,0.035652442728981965,0.008567518925427002,3.163721209511925e-05,0.01886010563514504,0.05244477982281889
