primary_tag,month_id,n_questions,time_index,high_tag,exposure_index,predicted_exposure_mean,residual_queue_complexity_index_mean,first_answer_1d_rate,first_answer_1d_denom,accepted_30d_rate,accepted_30d_denom,response_cert_gap,post_chatgpt,high_post,chatgpt_z
bash,2020-01,45,1,1,4.361618661082143,4.370471519108922,0.5111111111111112,0.35555555555555557,45.0,0.26666666666666666,45.0,0.0888888888888889,0,0,-1.0265186621478888
bash,2020-02,38,2,1,4.361618661082143,4.363252116766173,0.5131578947368421,0.34210526315789475,38.0,0.23684210526315788,38.0,0.10526315789473686,0,0,-1.0265186621478888
bash,2020-03,42,3,1,4.361618661082143,4.395963556709811,0.5119047619047619,0.19047619047619047,42.0,0.23809523809523808,42.0,-0.047619047619047616,0,0,-1.0265186621478888
bash,2020-04,56,4,1,4.361618661082143,4.344023832776753,0.5089285714285713,0.3392857142857143,56.0,0.21428571428571427,56.0,0.12500000000000003,0,0,-1.0265186621478888
bash,2020-05,40,5,1,4.361618661082143,4.36216286830553,0.5125,0.35,40.0,0.3,40.0,0.04999999999999999,0,0,-1.0265186621478888
bash,2020-06,42,6,1,4.361618661082143,4.390566816400273,0.5119047619047619,0.30952380952380953,42.0,0.3333333333333333,42.0,-0.02380952380952378,0,0,-1.0265186621478888
bash,2020-07,36,7,1,4.361618661082143,4.367476493698264,0.5138888888888888,0.25,36.0,0.2222222222222222,36.0,0.02777777777777779,0,0,-1.0265186621478888
bash,2020-08,36,8,1,4.361618661082143,4.353221344482898,0.5138888888888888,0.2777777777777778,36.0,0.16666666666666666,36.0,0.11111111111111113,0,0,-1.0265186621478888
bash,2020-09,38,9,1,4.361618661082143,4.35256328937903,0.513157894736842,0.21052631578947367,38.0,0.15789473684210525,38.0,0.05263157894736842,0,0,-1.0265186621478888
bash,2020-10,49,10,1,4.361618661082143,4.408001266171731,0.5102040816326531,0.22448979591836735,49.0,0.24489795918367346,49.0,-0.020408163265306117,0,0,-1.0265186621478888
bash,2020-11,32,11,1,4.361618661082143,4.422135022415292,0.515625,0.21875,32.0,0.21875,32.0,0.0,0,0,-1.0265186621478888
