exposure_rank,tag,exposure_tercile,exposure_index,manual_high,pre_questions,jetbrains_cluster,respondent_n,chatgpt_answers_share,stackoverflow_answers_share,private_public_gap,ai_search_saving_share,ai_debugging_share,external_calibration_level,safe_interpretation
1,regex,High,1.657307329678494,1,21515,SQL / analytics,940,0.2063829787234042,0.1372340425531915,0.0691489361702127,0.1031914893617021,0.3074468085106383,JetBrains cluster mapped to focal tag,External developer-survey cluster supports the private-vs-public substitution premise; it does not independently validate this tag's exact exposure rank.
2,pandas,High,1.1493993062473231,1,17115,Python / data,5768,0.2180998613037447,0.1473647711511789,0.0707350901525658,0.1229195561719833,0.2822468793342579,JetBrains cluster mapped to focal tag,External developer-survey cluster supports the private-vs-public substitution premise; it does not independently validate this tag's exact exposure rank.
3,numpy,High,0.8626457974180449,1,3554,Python / data,5768,0.2180998613037447,0.1473647711511789,0.0707350901525658,0.1229195561719833,0.2822468793342579,JetBrains cluster mapped to focal tag,External developer-survey cluster supports the private-vs-public substitution premise; it does not independently validate this tag's exact exposure rank.
4,sql,High,0.8127371844006236,1,123789,SQL / analytics,940,0.2063829787234042,0.1372340425531915,0.0691489361702127,0.1031914893617021,0.3074468085106383,JetBrains cluster mapped to focal tag,External developer-survey cluster supports the private-vs-public substitution premise; it does not independently validate this tag's exact exposure rank.
5,apache-spark,High,0.6785814699695615,0,18428,Python / data,5768,0.2180998613037447,0.1473647711511789,0.0707350901525658,0.1229195561719833,0.2822468793342579,JetBrains cluster mapped to focal tag,External developer-survey cluster supports the private-vs-public substitution premise; it does not independently validate this tag's exact exposure rank.
6,excel,Middle,0.5121987286806099,1,54913,SQL / analytics,940,0.2063829787234042,0.1372340425531915,0.0691489361702127,0.1031914893617021,0.3074468085106383,JetBrains cluster mapped to focal tag,External developer-survey cluster supports the private-vs-public substitution premise; it does not independently validate this tag's exact exposure rank.
7,javascript,Middle,0.484762784788476,1,529061,JavaScript / web,4150,0.2267469879518072,0.128433734939759,0.0983132530120481,0.1281927710843373,0.2942168674698795,JetBrains cluster mapped to focal tag,External developer-survey cluster supports the private-vs-public substitution premise; it does not independently validate this tag's exact exposure rank.
8,bash,Middle,0.4267372425853595,1,21874,Shell / infra / cloud,16009,0.2136298332188144,0.1469798238490849,0.0666500093697295,0.1283652945218314,0.3165719282903367,JetBrains cluster mapped to focal tag,External developer-survey cluster supports the private-vs-public substitution premise; it does not independently validate this tag's exact exposure rank.
9,python,Middle,0.3704293899547944,1,589797,Python / data,5768,0.2180998613037447,0.1473647711511789,0.0707350901525658,0.1229195561719833,0.2822468793342579,JetBrains cluster mapped to focal tag,External developer-survey cluster supports the private-vs-public substitution premise; it does not independently validate this tag's exact exposure rank.
10,linux,Middle,-0.3486118221209918,0,27622,Shell / infra / cloud,16009,0.2136298332188144,0.1469798238490849,0.0666500093697295,0.1283652945218314,0.3165719282903367,JetBrains cluster mapped to focal tag,External developer-survey cluster supports the private-vs-public substitution premise; it does not independently validate this tag's exact exposure rank.
11,memory-management,Low,-0.522609519626134,0,2329,Android / mobile,8427,0.2209564495075353,0.1406194375222499,0.0803370119852853,0.1307701435860923,0.3107867568529726,JetBrains cluster mapped to focal tag,External developer-survey cluster supports the private-vs-public substitution premise; it does not independently validate this tag's exact exposure rank.
12,android,Low,-0.5824723369899437,0,162195,Android / mobile,8427,0.2209564495075353,0.1406194375222499,0.0803370119852853,0.1307701435860923,0.3107867568529726,JetBrains cluster mapped to focal tag,External developer-survey cluster supports the private-vs-public substitution premise; it does not independently validate this tag's exact exposure rank.
13,firebase,Low,-0.8269317640104322,0,34085,JavaScript / web,4150,0.2267469879518072,0.128433734939759,0.0983132530120481,0.1281927710843373,0.2942168674698795,JetBrains cluster mapped to focal tag,External developer-survey cluster supports the private-vs-public substitution premise; it does not independently validate this tag's exact exposure rank.
14,multithreading,Low,-1.0198880283282128,0,13035,Android / mobile,8427,0.2209564495075353,0.1406194375222499,0.0803370119852853,0.1307701435860923,0.3107867568529726,JetBrains cluster mapped to focal tag,External developer-survey cluster supports the private-vs-public substitution premise; it does not independently validate this tag's exact exposure rank.
15,kubernetes,Low,-1.5867667726106391,0,25272,Shell / infra / cloud,16009,0.2136298332188144,0.1469798238490849,0.0666500093697295,0.1283652945218314,0.3165719282903367,JetBrains cluster mapped to focal tag,External developer-survey cluster supports the private-vs-public substitution premise; it does not independently validate this tag's exact exposure rank.
16,docker,Low,-2.067518990036933,0,45761,Shell / infra / cloud,16009,0.2136298332188144,0.1469798238490849,0.0666500093697295,0.1283652945218314,0.3165719282903367,JetBrains cluster mapped to focal tag,External developer-survey cluster supports the private-vs-public substitution premise; it does not independently validate this tag's exact exposure rank.
