role,outcome,coefficient,se,p_value,nobs,mean_outcome,safe_read
first answer,P(role answer accepted same calendar day),-0.006939104446647185,0.0021286597647127235,0.001114724587037959,1161,0.22305785842115583,"Exposure-post coefficient from tag-month role panel with tag FE, month FE, tag-specific linear trends, and answer-count weights."
first answer,P(role answer accepted within 7 calendar days),-0.007558759003982095,0.00307471121229458,0.013957167336311789,1161,0.38002952007911933,"Exposure-post coefficient from tag-month role panel with tag FE, month FE, tag-specific linear trends, and answer-count weights."
first answer,P(role answer accepted within 30 calendar days),-0.007711281515327933,0.0032007434550679723,0.015986844454231864,1161,0.4051858254075596,"Exposure-post coefficient from tag-month role panel with tag FE, month FE, tag-specific linear trends, and answer-count weights."
first answer,P(role answer ever accepted in archive),-0.005174579368051253,0.0036468673998943657,0.1559250369769506,1161,0.4309831370905685,"Exposure-post coefficient from tag-month role panel with tag FE, month FE, tag-specific linear trends, and answer-count weights."
first answer,P(role answer is current accepted answer),-0.005159818179524236,0.003637654447996376,0.15606045107855,1161,0.43124229305336903,"Exposure-post coefficient from tag-month role panel with tag FE, month FE, tag-specific linear trends, and answer-count weights."
first answer,P(role answer receives positive score),0.009372503451452767,0.007312947663624859,0.1999719750454355,1161,0.5752033746989632,"Exposure-post coefficient from tag-month role panel with tag FE, month FE, tag-specific linear trends, and answer-count weights."
first answer,archive answer score,0.13660738453690832,0.08605035515085517,0.1123930150262772,1161,1.2474259824212974,"Exposure-post coefficient from tag-month role panel with tag FE, month FE, tag-specific linear trends, and answer-count weights."
first positive answer,P(role answer accepted same calendar day),-0.008540152922365055,0.0025022032902137998,0.0006423940272406789,1159,0.29026168459249885,"Exposure-post coefficient from tag-month role panel with tag FE, month FE, tag-specific linear trends, and answer-count weights."
first positive answer,P(role answer accepted within 7 calendar days),-0.0085144332875649,0.003739210131057325,0.02278220432378038,1159,0.4870183713027603,"Exposure-post coefficient from tag-month role panel with tag FE, month FE, tag-specific linear trends, and answer-count weights."
first positive answer,P(role answer accepted within 30 calendar days),-0.010230842555316479,0.004800562169035922,0.03307465102095468,1159,0.5171565639141844,"Exposure-post coefficient from tag-month role panel with tag FE, month FE, tag-specific linear trends, and answer-count weights."
first positive answer,P(role answer ever accepted in archive),-0.007066683525124845,0.00510973190922513,0.16666940884019676,1159,0.5471334519142563,"Exposure-post coefficient from tag-month role panel with tag FE, month FE, tag-specific linear trends, and answer-count weights."
first positive answer,P(role answer is current accepted answer),-0.007030019471113241,0.005114308117732508,0.16926206753220419,1159,0.5474135840900102,"Exposure-post coefficient from tag-month role panel with tag FE, month FE, tag-specific linear trends, and answer-count weights."
first positive answer,archive answer score,0.21365796862461098,0.12104250774884735,0.07753885624145661,1159,2.1622251038742997,"Exposure-post coefficient from tag-month role panel with tag FE, month FE, tag-specific linear trends, and answer-count weights."
top-scored answer,P(role answer accepted same calendar day),-0.007700425613213972,0.002592435202739919,0.0029746597154860495,1161,0.2377443227982149,"Exposure-post coefficient from tag-month role panel with tag FE, month FE, tag-specific linear trends, and answer-count weights."
top-scored answer,P(role answer accepted within 7 calendar days),-0.007523271087682784,0.0029546244607670824,0.01088809930119441,1161,0.4057555424845123,"Exposure-post coefficient from tag-month role panel with tag FE, month FE, tag-specific linear trends, and answer-count weights."
top-scored answer,P(role answer accepted within 30 calendar days),-0.0074074909777981585,0.003306007048510093,0.025050985117932058,1161,0.43285350316288373,"Exposure-post coefficient from tag-month role panel with tag FE, month FE, tag-specific linear trends, and answer-count weights."
top-scored answer,P(role answer ever accepted in archive),-0.00472957422654535,0.0036782543227794483,0.198505769637784,1161,0.46046741603087016,"Exposure-post coefficient from tag-month role panel with tag FE, month FE, tag-specific linear trends, and answer-count weights."
top-scored answer,P(role answer is current accepted answer),-0.004729801811953887,0.0036834341475226015,0.19911608406525605,1161,0.46071215579839025,"Exposure-post coefficient from tag-month role panel with tag FE, month FE, tag-specific linear trends, and answer-count weights."
top-scored answer,P(role answer receives positive score),0.010155190358568364,0.007536188221165981,0.17781170587118067,1161,0.6240674836731314,"Exposure-post coefficient from tag-month role panel with tag FE, month FE, tag-specific linear trends, and answer-count weights."
top-scored answer,archive answer score,0.13933422742224272,0.12266833907215871,0.25601458865071325,1161,1.4913513288772662,"Exposure-post coefficient from tag-month role panel with tag FE, month FE, tag-specific linear trends, and answer-count weights."
