outcome,role,coef,se,pval,nobs,mean_outcome
accepted_conversion_share,first_answer,-0.007483921564370724,0.00388693015795255,0.054178491754971046,1161,0.4327120990403445
accepted_conversion_share,first_positive,-0.014283999094783206,0.00610850776583523,0.019367657103611265,1159,0.5635503221599498
accepted_conversion_share,top_score,-0.007094692583265679,0.004257463567546088,0.09563118574805582,1161,0.4651702896247475
positive_score_share,first_answer,0.02218226627065024,0.01195666563182256,0.06356456539954869,1161,0.5304612999446389
positive_score_share,top_score,0.025135285684385316,0.012881965584166795,0.051033310349452334,1161,0.5887133556218134
positive_score_share,accepted_current,0.02494558475461529,0.010252767479437697,0.014971874916421256,1155,0.7019202704816787
accepted_lag_hours_mean,first_answer,97.39629834795906,18.066133894962473,7.002846829808597e-08,1152,462.698128616665
accepted_lag_hours_mean,first_positive,102.71232400973308,16.16050790764217,2.0739743379696783e-10,1149,442.7874695103232
accepted_lag_hours_mean,top_score,100.14614612706075,16.643633435654532,1.7758656723012991e-09,1154,469.4419555789144
accepted_lag_hours_mean,accepted_current,102.69844250990383,16.294593771906555,2.926778291350279e-10,1155,471.1540489302791
