primary_tag,month_id,disclosed_ai_questions,question_title_hits,question_body_hits,answer_body_hits,comment_hits,exposure_index,high_tag
android,2020-02,3,0,3,0,0,-0.5824723369899437,0.0
android,2020-03,3,0,0,1,2,-0.5824723369899437,0.0
android,2020-04,5,0,4,1,1,-0.5824723369899437,0.0
android,2020-06,4,0,2,2,0,-0.5824723369899437,0.0
android,2020-07,1,0,1,0,0,-0.5824723369899437,0.0
android,2020-08,1,0,0,1,0,-0.5824723369899437,0.0
android,2020-09,1,0,0,0,1,-0.5824723369899437,0.0
android,2020-10,2,0,0,0,2,-0.5824723369899437,0.0
android,2020-11,1,0,0,0,1,-0.5824723369899437,0.0
android,2020-12,2,0,2,0,0,-0.5824723369899437,0.0
android,2021-01,2,0,1,0,1,-0.5824723369899437,0.0
android,2021-02,1,0,1,0,0,-0.5824723369899437,0.0
android,2021-03,4,0,2,2,0,-0.5824723369899437,0.0
android,2021-04,2,0,1,1,0,-0.5824723369899437,0.0
android,2021-05,1,0,1,0,0,-0.5824723369899437,0.0
android,2021-06,2,0,1,1,2,-0.5824723369899437,0.0
android,2021-07,4,0,2,0,2,-0.5824723369899437,0.0
android,2021-08,2,0,1,0,1,-0.5824723369899437,0.0
android,2021-09,2,0,1,1,0,-0.5824723369899437,0.0
android,2021-10,4,0,2,0,2,-0.5824723369899437,0.0
android,2021-11,1,0,0,1,0,-0.5824723369899437,0.0
android,2021-12,1,0,0,0,1,-0.5824723369899437,0.0
android,2022-01,1,0,0,0,1,-0.5824723369899437,0.0
android,2022-02,1,0,1,0,0,-0.5824723369899437,0.0
android,2022-04,2,0,0,2,0,-0.5824723369899437,0.0
android,2022-05,3,0,0,1,2,-0.5824723369899437,0.0
android,2022-06,4,0,4,0,0,-0.5824723369899437,0.0
android,2022-07,2,1,1,1,2,-0.5824723369899437,0.0
android,2022-08,4,1,1,1,1,-0.5824723369899437,0.0
android,2022-09,1,0,0,0,1,-0.5824723369899437,0.0
android,2022-10,1,0,0,0,1,-0.5824723369899437,0.0
android,2022-11,5,0,3,1,1,-0.5824723369899437,0.0
android,2022-12,8,0,4,4,2,-0.5824723369899437,0.0
android,2023-01,18,2,11,5,6,-0.5824723369899437,0.0
android,2023-02,16,3,10,6,6,-0.5824723369899437,0.0
android,2023-03,24,4,21,7,4,-0.5824723369899437,0.0
android,2023-04,29,0,21,5,7,-0.5824723369899437,0.0
android,2023-05,13,4,10,2,3,-0.5824723369899437,0.0
android,2023-06,24,2,15,4,7,-0.5824723369899437,0.0
android,2023-07,29,2,19,5,10,-0.5824723369899437,0.0
android,2023-08,16,0,11,2,3,-0.5824723369899437,0.0
android,2023-09,19,0,16,2,3,-0.5824723369899437,0.0
android,2023-10,22,0,19,1,2,-0.5824723369899437,0.0
