user_id,created_at,source,post_id,labels
150,2008-08-18 18:25:23.437000+00:00,answer_post,15035,gemini
157,2009-07-15 19:15:20.750000+00:00,answer_post,1133372,anthropic
371,2019-03-07 23:19:53.597000+00:00,answer_post,55054389,gemini
414,2023-04-04 23:17:47.980000+00:00,answer_post,75934540,llm
476,2024-08-29 13:02:20.537000+00:00,comment,78927243,llm
672,2008-10-22 17:51:48.283000+00:00,answer_post,226843,copilot
722,2008-08-19 15:52:05.397000+00:00,answer_post,16444,chatgpt;claude;llm
722,2009-03-01 00:17:14.807000+00:00,answer_post,598957,copilot
893,2008-08-11 11:05:37.820000+00:00,answer_post,7669,copilot
905,2024-01-08 12:45:58.773000+00:00,comment,77757818,copilot
1288,2023-04-30 22:43:57.360000+00:00,answer_post,76143870,chatgpt
1343,2010-03-30 15:45:01.983000+00:00,comment,2545759,llm
1414,2008-08-25 14:11:15.353000+00:00,answer_post,26080,claude
1553,2008-08-30 20:05:37.723000+00:00,answer_post,36311,claude
1622,2025-03-02 11:13:09.347000+00:00,answer_post,79478982,claude
1882,2025-01-17 16:29:52.907000+00:00,comment,79144641,chatgpt
1968,2023-07-27 14:28:01.237000+00:00,comment,76780596,ai_generated
1968,2023-09-14 16:11:43.417000+00:00,comment,77106294,openai
1968,2024-03-06 14:59:28.840000+00:00,comment,78114917,chatgpt
1968,2024-09-18 13:18:00.053000+00:00,comment,78997019,llm
1996,2008-08-19 19:51:39.143000+00:00,answer_post,16817,gemini
2214,2009-05-01 21:15:22.433000+00:00,answer_post,813332,claude
2363,2009-04-26 06:13:22.567000+00:00,answer_post,790332,copilot
2424,2013-02-28 15:22:05.873000+00:00,comment,6928688,claude
2600,2008-09-04 17:02:52.117000+00:00,answer_post,44179,copilot
2608,2009-03-29 21:54:26.717000+00:00,answer_post,695462,gemini
2938,2009-03-21 17:38:09.350000+00:00,answer_post,669627,copilot
2988,2010-12-20 15:55:11.290000+00:00,answer_post,4491290,claude
3043,2025-09-09 15:55:19.443000+00:00,answer_post,79760068,llm
3153,2009-09-22 11:24:54.413000+00:00,answer_post,1459492,copilot
3153,2010-07-20 23:58:37.240000+00:00,answer_post,3295319,copilot
3219,2011-12-01 15:28:03.820000+00:00,answer_post,8343818,gemini
3225,2008-11-14 15:52:11.930000+00:00,answer_post,290514,copilot
3333,2009-01-31 20:31:21.250000+00:00,answer_post,499497,copilot
3333,2010-06-04 18:39:44.390000+00:00,answer_post,2976824,copilot
3333,2010-06-04 18:43:45.583000+00:00,comment,2976824,copilot
3421,2008-09-04 17:33:20.013000+00:00,answer_post,44255,copilot
3525,2009-02-01 22:08:26+00:00,answer_post,501679,claude
3605,2024-06-10 06:03:51.113000+00:00,answer_post,78600685,copilot
3765,2022-05-06 05:46:45.490000+00:00,answer_post,72136715,copilot
3811,2009-02-12 06:01:54.273000+00:00,answer_post,540231,copilot
4279,2015-09-28 00:46:58.390000+00:00,answer_post,32814347,claude
4321,2023-05-14 01:10:41.280000+00:00,comment,66697196,openai
4906,2010-05-06 18:00:54.143000+00:00,comment,290514,copilot
5007,2024-01-17 05:05:22.150000+00:00,comment,58368297,copilot
5056,2023-06-07 19:09:21.077000+00:00,comment,76426229,chatgpt
5171,2010-07-01 23:05:45.473000+00:00,answer_post,3162299,claude
5351,2024-03-27 16:25:05.050000+00:00,answer_post,78233192,copilot
5381,2009-07-09 10:45:28.200000+00:00,answer_post,1103143,copilot
5454,2025-06-12 17:14:16.310000+00:00,answer_post,79663902,gemini
5485,2009-04-03 18:31:56.800000+00:00,answer_post,715119,copilot
5628,2008-09-24 03:34:53.453000+00:00,answer_post,125276,claude
5702,2023-04-13 17:07:46.883000+00:00,comment,76002754,gpt_family;openai
5702,2023-04-13 17:35:30.130000+00:00,answer_post,76008343,chatgpt;gpt_family;openai
5702,2023-04-13 18:00:49.233000+00:00,comment,75760838,chatgpt
5702,2023-04-15 18:20:18.297000+00:00,comment,76020058,chatgpt
5702,2023-04-18 14:20:29.340000+00:00,answer_post,76045751,gpt_family;openai
5702,2023-04-19 18:21:38.033000+00:00,answer_post,76057723,gpt_family
5821,2023-04-27 15:40:11.933000+00:00,comment,9398804,gpt_family
5921,2025-06-21 19:59:53.673000+00:00,comment,79674500,gemini
5987,2023-04-28 02:35:42.273000+00:00,comment,76122844,chatgpt
5987,2023-07-27 01:42:38.107000+00:00,comment,76776008,chatgpt
5987,2023-09-28 13:32:39.250000+00:00,comment,77194498,chatgpt
5987,2024-02-19 15:49:58.740000+00:00,comment,78021878,chatgpt
6001,2025-08-22 03:19:57.530000+00:00,answer_post,79742933,claude
6174,2012-08-21 17:10:42.507000+00:00,answer_post,12059785,copilot
6244,2009-01-21 10:32:50.450000+00:00,answer_post,464753,copilot
6244,2013-11-17 20:38:22.937000+00:00,comment,17441186,copilot
6244,2024-10-30 15:07:48.267000+00:00,comment,79139878,chatgpt
6309,2016-01-22 07:25:55.453000+00:00,comment,34935709,claude
6309,2021-05-23 07:50:23.130000+00:00,answer_post,67657423,openai
6309,2022-06-22 16:25:11.640000+00:00,answer_post,72718976,copilot;llm
6309,2022-08-05 05:50:13.840000+00:00,answer_post,73245220,copilot
6309,2022-12-10 21:28:02.177000+00:00,comment,74715845,chatgpt;openai
6309,2023-01-19 00:06:24.437000+00:00,answer_post,75166525,copilot
6309,2023-02-23 12:25:07.543000+00:00,answer_post,75544805,copilot
6309,2023-03-03 16:27:04.430000+00:00,answer_post,75629594,copilot
6309,2023-05-05 22:27:36.153000+00:00,comment,76184380,chatgpt
6309,2023-11-30 18:39:45.997000+00:00,comment,73848372,copilot
6309,2024-10-19 15:50:03.940000+00:00,answer_post,79105340,copilot
6309,2025-03-16 20:05:47.187000+00:00,answer_post,79513166,copilot
6309,2025-09-19 18:26:57.060000+00:00,answer_post,79769837,copilot
6345,2024-11-18 09:57:23.003000+00:00,comment,79197641,llm
6415,2023-10-12 18:16:33.407000+00:00,comment,76828354,copilot
6509,2023-08-19 18:57:30.360000+00:00,comment,76936166,chatgpt
6509,2024-03-21 16:40:54.680000+00:00,answer_post,78201555,chatgpt
6742,2015-11-27 14:12:09.050000+00:00,comment,33958827,claude
7404,2023-07-06 16:03:26.283000+00:00,comment,41134330,llm
7405,2009-04-15 23:11:10.650000+00:00,comment,243100,gemini
7405,2009-04-15 23:13:10.100000+00:00,comment,740222,gemini
7432,2015-02-06 22:10:08.130000+00:00,answer_post,28375674,gemini
7524,2009-01-09 14:51:52.143000+00:00,answer_post,428331,copilot
7552,2024-12-06 15:19:18.563000+00:00,answer_post,79258515,copilot
7766,2024-01-31 21:21:18.153000+00:00,answer_post,77916485,openai
7890,2009-03-12 12:33:36.163000+00:00,answer_post,638416,gemini
