outcome,dropped_tag_1,dropped_tag_2,coef,pval
return_365d,android,apache-spark,-0.0265765630015575,0.00029708019813319954
return_365d,android,bash,-0.026401337325327654,0.00032286761341429837
return_365d,android,docker,-0.021554508808668608,0.13346658802759645
return_365d,android,excel,-0.027020791329720135,0.0002221333413668643
return_365d,android,firebase,-0.024418249016667257,0.0012080325634613454
return_365d,android,javascript,-0.020997044617559753,0.017912575077553724
return_365d,android,kubernetes,-0.026130681334745425,0.0008447836705352497
return_365d,android,linux,-0.025129896570101156,0.0006944202546680482
return_365d,android,memory-management,-0.025987451622646807,0.00038972241727548576
return_365d,android,multithreading,-0.02564902370964436,0.0005342133224434705
return_365d,android,numpy,-0.0264640942139478,0.0002922810034846389
return_365d,android,pandas,-0.027219828790795007,0.0002053625896939294
return_365d,android,python,-0.02336680827930165,0.012603375665410957
return_365d,android,regex,-0.029387667342913145,1.4151791434846784e-05
return_365d,android,sql,-0.030363992253955998,2.943919112495446e-07
return_365d,apache-spark,bash,-0.027352039197332423,0.000363092521830912
return_365d,apache-spark,docker,-0.02488848564490437,0.044612942832608325
return_365d,apache-spark,excel,-0.028058594321501377,0.00022476009614318698
return_365d,apache-spark,firebase,-0.02567850447136121,0.0007984388625263114
return_365d,apache-spark,javascript,-0.02116394808653057,0.03403512930453609
return_365d,apache-spark,kubernetes,-0.027129832482602267,0.0007782606428532693
return_365d,apache-spark,linux,-0.026290649367657022,0.00052811268030313
return_365d,apache-spark,memory-management,-0.026912208979656335,0.000435997441761737
return_365d,apache-spark,multithreading,-0.02664030143231648,0.0005268649249847246
return_365d,apache-spark,numpy,-0.02736677548999488,0.000349936156862253
return_365d,apache-spark,pandas,-0.02812597148401566,0.00026073681733254796
return_365d,apache-spark,python,-0.02345702539229936,0.026039952102659112
return_365d,apache-spark,regex,-0.030232195012405767,3.0265310781257306e-05
return_365d,apache-spark,sql,-0.03150800211896142,2.6314090491993375e-07
return_365d,bash,docker,-0.024559281385236078,0.04639275327373032
return_365d,bash,excel,-0.027904505712519588,0.00023498279152125515
return_365d,bash,firebase,-0.025522274681245065,0.0008535752596834751
return_365d,bash,javascript,-0.021052348680833624,0.0343087692785275
return_365d,bash,kubernetes,-0.026960703726278526,0.0008157159199844785
return_365d,bash,linux,-0.026140122404589208,0.000561275151541038
return_365d,bash,memory-management,-0.02676419840883608,0.00045503793577339653
return_365d,bash,multithreading,-0.026488066620858165,0.0005536839764598052
return_365d,bash,numpy,-0.027217286874564962,0.0003639059159910479
return_365d,bash,pandas,-0.02797260824619515,0.00026965967044567543
return_365d,bash,python,-0.023336989174973313,0.02615318205055818
return_365d,bash,regex,-0.03006661967317009,3.080254334211332e-05
return_365d,bash,sql,-0.03133544524158107,2.7709487456357427e-07
return_365d,docker,excel,-0.025559939878430457,0.03946562786420418
return_365d,docker,firebase,-0.020323337751999432,0.11297608950971202
return_365d,docker,javascript,-0.016094661154474395,0.23469831153849885
return_365d,docker,kubernetes,-0.023461055395991942,0.13086524939252758
return_365d,docker,linux,-0.0219483336984209,0.07454909267411024
return_365d,docker,memory-management,-0.02385176285166515,0.052029086027701774
return_365d,docker,multithreading,-0.02307106978473453,0.06785826176303608
return_365d,docker,numpy,-0.024733386938699798,0.044398727276336064
return_365d,docker,pandas,-0.026070893334918365,0.03789182162450695
return_365d,docker,python,-0.02041725354066193,0.1584454834559128
return_365d,docker,regex,-0.030108105831168467,0.011671525139711127
return_365d,docker,sql,-0.03149174826929178,0.003097797657228686
return_365d,excel,firebase,-0.026202303129011013,0.0005478253648584207
return_365d,excel,javascript,-0.02192946843765642,0.02686923476150366
return_365d,excel,kubernetes,-0.027668619678513317,0.0005473216823433912
return_365d,excel,linux,-0.026822662257761143,0.0003541190572988606
return_365d,excel,memory-management,-0.02744989764258089,0.0002866030023297386
return_365d,excel,multithreading,-0.02717201010214257,0.0003528814503007103
return_365d,excel,numpy,-0.02791285033113673,0.00022708532955901715
return_365d,excel,pandas,-0.028696612624126584,0.00016357289564801283
return_365d,excel,python,-0.024163100614555795,0.02016734870824396
return_365d,excel,regex,-0.030857367112922363,1.4320081395926896e-05
return_365d,excel,sql,-0.0321844260792871,4.7822594040747434e-08
return_365d,firebase,javascript,-0.019574631230006086,0.044040751967129366
return_365d,firebase,kubernetes,-0.02506687053997361,0.00211789530963406
return_365d,firebase,linux,-0.024357828274828776,0.001594737981619917
return_365d,firebase,memory-management,-0.025086390047104428,0.0010464036449389779
return_365d,firebase,multithreading,-0.024749811166821185,0.0013775504427471046
return_365d,firebase,numpy,-0.025552965155020986,0.0008003315124785646
return_365d,firebase,pandas,-0.026298759867482792,0.0005658160719081912
return_365d,firebase,python,-0.021911192497930554,0.03135089319333502
return_365d,firebase,regex,-0.028394576840106156,5.424196684557868e-05
return_365d,firebase,sql,-0.029588225848240054,7.457844557905412e-07
return_365d,javascript,kubernetes,-0.02065847363125126,0.04151224740037085
return_365d,javascript,linux,-0.02026177395453303,0.03628338688899587
return_365d,javascript,memory-management,-0.02060430690811862,0.03594911003708452
return_365d,javascript,multithreading,-0.020352585349286266,0.03786911974377608
return_365d,javascript,numpy,-0.021067731608446067,0.032573736133205355
return_365d,javascript,pandas,-0.021767005395331697,0.030723240831830624
return_365d,javascript,python,-0.004820762202167211,0.26859970091373664
return_365d,javascript,regex,-0.023863875023371884,0.01638575701535941
return_365d,javascript,sql,-0.025725868081814745,0.0031185575524572033
return_365d,kubernetes,linux,-0.025739353162967073,0.0013411908420970116
return_365d,kubernetes,memory-management,-0.02650648845639126,0.0009733546014890143
return_365d,kubernetes,multithreading,-0.026192567373892944,0.0012264999694316977
return_365d,kubernetes,numpy,-0.0269998929153097,0.0007748778662482421
return_365d,kubernetes,pandas,-0.027807512308468747,0.0005825696214413004
return_365d,kubernetes,python,-0.0231336575712154,0.030307605088745918
return_365d,kubernetes,regex,-0.030089262550188345,7.628022428875252e-05
return_365d,kubernetes,sql,-0.031291247570529805,1.8469252901773671e-06
return_365d,linux,memory-management,-0.02570561730324367,0.0006865139169100384
return_365d,linux,multithreading,-0.025397738285649278,0.0008818956291283523
return_365d,linux,numpy,-0.02615967499805576,0.0005307608618719654
return_365d,linux,pandas,-0.026898936706521204,0.0003774470703413537
return_365d,linux,python,-0.022534663726250688,0.026397508079566805
return_365d,linux,regex,-0.028956519945024274,3.642505057480059e-05
return_365d,linux,sql,-0.030188424734680523,3.7054812760394934e-07
return_365d,memory-management,multithreading,-0.026057101196394185,0.0006669888472258614
return_365d,memory-management,numpy,-0.026783534858808734,0.00043602527403970584
return_365d,memory-management,pandas,-0.027522238744946463,0.00032453678481896253
return_365d,memory-management,python,-0.02289500113424754,0.027645111842171086
return_365d,memory-management,regex,-0.029582090970645545,3.914808986631647e-05
return_365d,memory-management,sql,-0.0308088158503433,4.928046954995412e-07
return_365d,multithreading,numpy,-0.0265114588645015,0.0005276479778307009
return_365d,multithreading,pandas,-0.02725337617547726,0.00038987030683669587
return_365d,multithreading,python,-0.022695706973359528,0.028535256764339538
return_365d,multithreading,regex,-0.02933378072028937,4.556979768904554e-05
return_365d,multithreading,sql,-0.030546626175644496,6.510131989600264e-07
return_365d,numpy,pandas,-0.027985673007253166,0.00026135000857550227
return_365d,numpy,python,-0.023339417505853374,0.025204963187257904
return_365d,numpy,regex,-0.03007265754496382,3.086269615653636e-05
return_365d,numpy,sql,-0.03131885839266206,3.18008918893793e-07
return_365d,pandas,python,-0.02403988916740032,0.02356337402508665
return_365d,pandas,regex,-0.03093781844175657,2.053506874687792e-05
return_365d,pandas,sql,-0.032244496990986415,1.1088123455779505e-07
return_365d,python,regex,-0.026098635246944914,0.012784265612152707
return_365d,python,sql,-0.0278513260757975,0.002443249512826904
return_365d,regex,sql,-0.03473572619171523,3.282394941877818e-12
return_365d,__summary__,__summary__,0.0,0.925
one_shot_365d,android,apache-spark,0.02657656300155747,0.00029708019813320187
one_shot_365d,android,bash,0.026401337325327696,0.0003228676134142874
one_shot_365d,android,docker,0.02155450880866869,0.13346658802759792
one_shot_365d,android,excel,0.027020791329720184,0.0002221333413668562
one_shot_365d,android,firebase,0.024418249016667132,0.0012080325634615625
one_shot_365d,android,javascript,0.020997044617559902,0.01791257507755273
one_shot_365d,android,kubernetes,0.026130681334745453,0.0008447836705352423
one_shot_365d,android,linux,0.025129896570101236,0.0006944202546680198
one_shot_365d,android,memory-management,0.02598745162264694,0.00038972241727544944
one_shot_365d,android,multithreading,0.025649023709644336,0.0005342133224434957
one_shot_365d,android,numpy,0.026464094213947506,0.0002922810034847065
one_shot_365d,android,pandas,0.027219828790795174,0.00020536258969390547
one_shot_365d,android,python,0.023366808279301824,0.012603375665409889
one_shot_365d,android,regex,0.029387667342913086,1.415179143484852e-05
one_shot_365d,android,sql,0.03036399225395638,2.9439191124940014e-07
one_shot_365d,apache-spark,bash,0.027352039197332825,0.00036309252183080846
one_shot_365d,apache-spark,docker,0.024888485644904052,0.044612942832611184
one_shot_365d,apache-spark,excel,0.028058594321501477,0.00022476009614314887
one_shot_365d,apache-spark,firebase,0.025678504471361357,0.000798438862526228
one_shot_365d,apache-spark,javascript,0.021163948086530878,0.034035129304532376
one_shot_365d,apache-spark,kubernetes,0.027129832482602142,0.0007782606428533104
one_shot_365d,apache-spark,linux,0.02629064936765423,0.0005281126803042131
one_shot_365d,apache-spark,memory-management,0.026912208979656592,0.00043599744176167106
one_shot_365d,apache-spark,multithreading,0.02664030143231636,0.0005268649249847692
one_shot_365d,apache-spark,numpy,0.027366775489994315,0.0003499361568623767
one_shot_365d,apache-spark,pandas,0.028125971484015706,0.0002607368173325517
one_shot_365d,apache-spark,python,0.023457025392299394,0.026039952102658824
one_shot_365d,apache-spark,regex,0.03023219501240577,3.0265310781255554e-05
one_shot_365d,apache-spark,sql,0.03150800211896124,2.631409049199947e-07
one_shot_365d,bash,docker,0.024559281385236352,0.046392753273727286
one_shot_365d,bash,excel,0.02790450571251989,0.00023498279152120669
one_shot_365d,bash,firebase,0.025522274681244933,0.0008535752596835504
one_shot_365d,bash,javascript,0.021052348680833975,0.03430876927852353
one_shot_365d,bash,kubernetes,0.026960703726278398,0.0008157159199845353
one_shot_365d,bash,linux,0.026140122404589218,0.0005612751515410341
one_shot_365d,bash,memory-management,0.026764198408836145,0.00045503793577337067
one_shot_365d,bash,multithreading,0.02648806662085822,0.00055368397645979
one_shot_365d,bash,numpy,0.027217286874565,0.00036390591599103935
one_shot_365d,bash,pandas,0.02797260824619507,0.00026965967044567993
one_shot_365d,bash,python,0.02333698917497333,0.02615318205055783
one_shot_365d,bash,regex,0.03006661967316991,3.0802543342119494e-05
one_shot_365d,bash,sql,0.03133544524158098,2.770948745636614e-07
one_shot_365d,docker,excel,0.02555993987843036,0.039465627864204614
one_shot_365d,docker,firebase,0.020323337751999678,0.11297608950970688
