tag,exposure_rank,exposure_tercile,exposure_index,mean_routine_hits,mean_context_hits,manual_high,pre_questions
regex,1,High,1.657307329678494,1.3029979084359748,0.0117592377411108,1,21515
pandas,2,High,1.1493993062473231,0.9597429155711364,0.0188723342097575,1,17115
numpy,3,High,0.8626457974180449,0.8097917839054586,0.0627462014631401,1,3554
sql,4,High,0.8127371844006236,0.7709489534611315,0.0657085847692444,1,123789
apache-spark,5,High,0.6785814699695615,0.7365422183633601,0.1070110701107011,0,18428
excel,6,Middle,0.5121987286806099,0.5195855261959827,0.0227632800976089,1,54913
javascript,7,Middle,0.484762784788476,0.5315133793645723,0.0514061705550021,1,529061
bash,8,Middle,0.4267372425853595,0.5199780561397093,0.0746091249885709,1,21874
python,9,Middle,0.3704293899547944,0.5010876623651866,0.0939102776039891,1,589797
linux,10,Middle,-0.3486118221209918,0.2682282238795163,0.3391861559626384,0,27622
memory-management,11,Low,-0.522609519626134,0.3228853585229712,0.5422928295405753,0,2329
android,12,Low,-0.5824723369899437,0.3934523259040044,0.6292179167052006,0,162195
firebase,13,Low,-0.8269317640104322,0.3584861375971835,0.779580460613173,0,34085
multithreading,14,Low,-1.0198880283282128,0.2376678174146528,0.8023014959723821,0,13035
kubernetes,15,Low,-1.5867667726106391,0.2176321620766065,1.1435185185185186,0,25272
docker,16,Low,-2.067518990036933,0.1762199252638709,1.4148729267279998,0,45761
