primary_tag,exposure_rank,exposure_tercile,exposure_index,jetbrains_cluster,respondent_n,chatgpt_answers_share,stackoverflow_answers_share,private_public_gap,ai_search_saving_share,ai_debugging_share,cluster_exposure_gap_rank,private_public_gap_positive
regex,1,High,1.657307329678494,SQL / analytics,940,0.2063829787234042,0.1372340425531915,0.0691489361702127,0.1031914893617021,0.3074468085106383,1,True
pandas,2,High,1.1493993062473231,Python / data,5768,0.2180998613037447,0.1473647711511789,0.0707350901525658,0.1229195561719833,0.2822468793342579,2,True
numpy,3,High,0.8626457974180449,Python / data,5768,0.2180998613037447,0.1473647711511789,0.0707350901525658,0.1229195561719833,0.2822468793342579,2,True
sql,4,High,0.8127371844006236,SQL / analytics,940,0.2063829787234042,0.1372340425531915,0.0691489361702127,0.1031914893617021,0.3074468085106383,1,True
apache-spark,5,High,0.6785814699695615,Python / data,5768,0.2180998613037447,0.1473647711511789,0.0707350901525658,0.1229195561719833,0.2822468793342579,2,True
excel,6,Middle,0.5121987286806099,SQL / analytics,940,0.2063829787234042,0.1372340425531915,0.0691489361702127,0.1031914893617021,0.3074468085106383,1,True
javascript,7,Middle,0.484762784788476,JavaScript / web,4150,0.2267469879518072,0.128433734939759,0.0983132530120481,0.1281927710843373,0.2942168674698795,3,True
bash,8,Middle,0.4267372425853595,Shell / infra / cloud,16009,0.2136298332188144,0.1469798238490849,0.0666500093697295,0.1283652945218314,0.3165719282903367,5,True
python,9,Middle,0.3704293899547944,Python / data,5768,0.2180998613037447,0.1473647711511789,0.0707350901525658,0.1229195561719833,0.2822468793342579,2,True
linux,10,Middle,-0.3486118221209918,Shell / infra / cloud,16009,0.2136298332188144,0.1469798238490849,0.0666500093697295,0.1283652945218314,0.3165719282903367,5,True
memory-management,11,Low,-0.522609519626134,Android / mobile,8427,0.2209564495075353,0.1406194375222499,0.0803370119852853,0.1307701435860923,0.3107867568529726,4,True
android,12,Low,-0.5824723369899437,Android / mobile,8427,0.2209564495075353,0.1406194375222499,0.0803370119852853,0.1307701435860923,0.3107867568529726,4,True
firebase,13,Low,-0.8269317640104322,JavaScript / web,4150,0.2267469879518072,0.128433734939759,0.0983132530120481,0.1281927710843373,0.2942168674698795,3,True
multithreading,14,Low,-1.0198880283282128,Android / mobile,8427,0.2209564495075353,0.1406194375222499,0.0803370119852853,0.1307701435860923,0.3107867568529726,4,True
kubernetes,15,Low,-1.5867667726106391,Shell / infra / cloud,16009,0.2136298332188144,0.1469798238490849,0.0666500093697295,0.1283652945218314,0.3165719282903367,5,True
docker,16,Low,-2.067518990036933,Shell / infra / cloud,16009,0.2136298332188144,0.1469798238490849,0.0666500093697295,0.1283652945218314,0.3165719282903367,5,True
