specification,dropped_tag,coef,se,pval
expert_answer_share,android,-0.01008451262079365,0.018543362771278174,0.5865556550488691
novice_entry_share,android,0.008335117413713528,0.004259810592204596,0.05038424042652608
accepted_7d_rate,android,0.007785540058964337,0.00429883895082485,0.07012851171953143
expert_answer_share,apache-spark,-0.004867173489061319,0.01651006039489519,0.7681463108488518
novice_entry_share,apache-spark,0.00597723895317381,0.00510621785704677,0.24176744704583253
accepted_7d_rate,apache-spark,0.009306351554662485,0.004128141468093969,0.024173003386793162
expert_answer_share,bash,-0.007313380395620251,0.016244655394809224,0.6525646146601365
novice_entry_share,bash,0.0059366394886868346,0.005085491991855491,0.2430618776796295
accepted_7d_rate,bash,0.00885901114855988,0.0040599525696159025,0.029105994652208794
expert_answer_share,docker,0.010023404881607446,0.01902634123653627,0.5983204985376043
novice_entry_share,docker,0.003563332641225632,0.008977073040679805,0.6914139023292737
accepted_7d_rate,docker,0.014533898928062436,0.0028783063265323382,4.430556463289852e-07
expert_answer_share,excel,-0.007266949653575567,0.01629554214567673,0.655635463385968
novice_entry_share,excel,0.005432899673769678,0.005220886134337003,0.29805717928954134
accepted_7d_rate,excel,0.008712239938711707,0.004054384190689367,0.03164675259913338
expert_answer_share,firebase,-0.0039688696135141525,0.017570809992461866,0.8212958578604814
novice_entry_share,firebase,0.005069801048999885,0.005197906077867432,0.3293844483775882
accepted_7d_rate,firebase,0.007956265069845874,0.0038653910606389666,0.03955810173991217
expert_answer_share,javascript,-0.003367783353602488,0.017312782790195127,0.8457641765764411
novice_entry_share,javascript,0.0010920206218270631,0.0039015926948505718,0.7795611439632878
accepted_7d_rate,javascript,0.008984948726065612,0.004221963618018116,0.03332510329559753
expert_answer_share,kubernetes,-0.016913332452722616,0.012044664091543455,0.16025398463742402
novice_entry_share,kubernetes,0.004847950605228657,0.005531197377688192,0.3807724132078625
accepted_7d_rate,kubernetes,0.007307393470422495,0.0036936852977713435,0.047889505910521865
expert_answer_share,linux,-0.003857930212555708,0.016853101406091302,0.8189348662974457
novice_entry_share,linux,0.004970340805277665,0.005100768880491282,0.3298432175485998
accepted_7d_rate,linux,0.009023095718151635,0.004157255871695208,0.029973141864714184
expert_answer_share,memory-management,-0.005583102502235872,0.01646324509633131,0.7345153595913299
novice_entry_share,memory-management,0.0057413946027558595,0.00508611595697065,0.25896670694881374
accepted_7d_rate,memory-management,0.009062386655704491,0.004110331553979154,0.02746936787140888
expert_answer_share,multithreading,-0.0020950318567745565,0.017097622132402568,0.9024764993370219
novice_entry_share,multithreading,0.00517509246335869,0.005157134021763929,0.3156282358096397
accepted_7d_rate,multithreading,0.009374464561120252,0.00432045099584844,0.030022877651230358
expert_answer_share,numpy,-0.006411389339999586,0.01632876910849269,0.6945826123128842
novice_entry_share,numpy,0.005841080974796463,0.005096641406257036,0.25176836840623784
accepted_7d_rate,numpy,0.009071512637284248,0.004094472200704752,0.026722256835840716
expert_answer_share,pandas,-0.008080295708847218,0.01623709578573906,0.6187348804379508
novice_entry_share,pandas,0.006323908647692007,0.005110268212357145,0.21590501855552735
accepted_7d_rate,pandas,0.009248894036600641,0.004185120142134251,0.027108835270885843
expert_answer_share,python,-0.002312537410451207,0.016500616624605474,0.8885426257395088
novice_entry_share,python,0.007883516557831658,0.00510139692011139,0.12225817623629218
accepted_7d_rate,python,0.009087878675943285,0.004073823692091837,0.025694497346117777
expert_answer_share,regex,-0.008877711854675579,0.016857123009211376,0.5984404531250958
novice_entry_share,regex,0.007468614144629079,0.00494779220795959,0.13117509094938162
accepted_7d_rate,regex,0.009157300802463774,0.004325846396410814,0.03426997297621531
expert_answer_share,sql,-0.008481795085089746,0.01689841739866345,0.6157179088923141
novice_entry_share,sql,0.007047763702061537,0.005162698563800467,0.17221164597723815
accepted_7d_rate,sql,0.007880511319836062,0.0038723488897467817,0.04184356339563468
