family,margin,role,outcome,coefficient,se,p_value,nobs,mean_outcome,safe_read
incumbent activity,pre-period expert incumbents,all roles,share_active,-0.007689319251817692,0.007662496350010116,0.31561941482408296,1152,0.27728746682003486,Higher-exposure post-period change among pre-period incumbent contributor-tag pairs.
incumbent activity,pre-period expert incumbents,all roles,mean_answers,-0.19781599098815902,0.06973019555390385,0.004555715256913371,1152,1.435732922858841,Higher-exposure post-period change among pre-period incumbent contributor-tag pairs.
incumbent activity,pre-period nonexpert incumbents,all roles,share_active,-0.0004865127074603594,0.0032330177588461143,0.8803839290278318,1152,0.0781555028191913,Higher-exposure post-period change among pre-period incumbent contributor-tag pairs.
incumbent activity,pre-period nonexpert incumbents,all roles,mean_answers,-0.01850390134985385,0.012256796754531656,0.13112383843538108,1152,0.13699331739312107,Higher-exposure post-period change among pre-period incumbent contributor-tag pairs.
role-location decomposition,recent_entrant_90d_share,first_answer,recent_entrant_90d_share,0.01789373233400664,0.008587949096704609,0.0371978221867456,1161,0.4595268381983999,Recent entrants become more visible in this answer-pipeline role.
role-location decomposition,incumbent_365d_share,first_answer,incumbent_365d_share,-0.04637231830970455,0.020636937876542916,0.024636562282516733,1161,0.4083147686745183,Pre-existing tag incumbents occupy this answer-pipeline role less often if negative.
role-location decomposition,brand_new_platform_share,first_answer,brand_new_platform_share,-0.013933620764409543,0.006047866885386611,0.02122881245879938,1161,0.13457023530005324,Brand-new platform users occupy this role more often if positive.
role-location decomposition,established_cross_tag_share,first_answer,established_cross_tag_share,0.011838894438604973,0.011821458380337211,0.31659724489669727,1161,0.7569773371330366,Established cross-tag users provide fallback capacity if positive.
role-location decomposition,recent_entrant_90d_share,first_positive,recent_entrant_90d_share,0.021459575666728913,0.009223645300245031,0.019987474173437037,1159,0.38993934064061275,Recent entrants become more visible in this answer-pipeline role.
role-location decomposition,incumbent_365d_share,first_positive,incumbent_365d_share,-0.06000536876122792,0.024410057572502416,0.01396263826642072,1159,0.47030823671618593,Pre-existing tag incumbents occupy this answer-pipeline role less often if negative.
role-location decomposition,brand_new_platform_share,first_positive,brand_new_platform_share,-0.016025224334164728,0.006824237304669986,0.018860304935667187,1159,0.11359066343997949,Brand-new platform users occupy this role more often if positive.
role-location decomposition,established_cross_tag_share,first_positive,established_cross_tag_share,0.005337240858748652,0.013461811313490234,0.6917563336803634,1159,0.7823433069934252,Established cross-tag users provide fallback capacity if positive.
role-location decomposition,recent_entrant_90d_share,top_score,recent_entrant_90d_share,0.020496548939459045,0.00820408122761206,0.012477797204118344,1161,0.44751506511185773,Recent entrants become more visible in this answer-pipeline role.
role-location decomposition,incumbent_365d_share,top_score,incumbent_365d_share,-0.05009272150392676,0.02095771634075064,0.016840101678944532,1161,0.4203997390790446,Pre-existing tag incumbents occupy this answer-pipeline role less often if negative.
role-location decomposition,brand_new_platform_share,top_score,brand_new_platform_share,-0.014404033731958072,0.0061961332058822005,0.02008901884401844,1161,0.13055684936587023,Brand-new platform users occupy this role more often if positive.
role-location decomposition,established_cross_tag_share,top_score,established_cross_tag_share,0.010999005711043919,0.011206995962880616,0.32637529897037376,1161,0.7620770276029786,Established cross-tag users provide fallback capacity if positive.
role-location decomposition,recent_entrant_90d_share,accepted_current,recent_entrant_90d_share,0.010742573768187325,0.00961030000751511,0.26364440175137704,1155,0.3906515876902335,Recent entrants become more visible in this answer-pipeline role.
role-location decomposition,incumbent_365d_share,accepted_current,incumbent_365d_share,-0.055506312603213315,0.02590816759137141,0.03215927729122908,1155,0.46708393118487535,Pre-existing tag incumbents occupy this answer-pipeline role less often if negative.
role-location decomposition,brand_new_platform_share,accepted_current,brand_new_platform_share,-0.015313363044653274,0.007022437449241278,0.02921052797284157,1155,0.10296887539899768,Brand-new platform users occupy this role more often if positive.
role-location decomposition,established_cross_tag_share,accepted_current,established_cross_tag_share,-0.00011037157897214362,0.014527731022426842,0.9939382872985765,1155,0.7901757187028814,Established cross-tag users provide fallback capacity if positive.
