specification,placebo_month,coef,se,pval
expert_answer_share,2020-04,0.02983736258702418,0.01600151941837058,0.06222934522510297
novice_entry_share,2020-04,0.02561623852809312,0.013513363689241716,0.058009957662158086
accepted_7d_rate,2020-04,0.0057943852865939265,0.0025006620041560066,0.020496077705776713
expert_answer_share,2020-05,0.024760083885099128,0.01625815101951858,0.1277753274008955
novice_entry_share,2020-05,0.023474513020585154,0.011885955156515755,0.04827051982129024
accepted_7d_rate,2020-05,0.006849121994708628,0.0024264618830485076,0.0047624289955322426
expert_answer_share,2020-06,0.023475359230865342,0.016493410531038935,0.15464414692252007
novice_entry_share,2020-06,0.02197814518252188,0.010672874220837975,0.03947003593978732
accepted_7d_rate,2020-06,0.005646641702412756,0.0023224843206984948,0.015045009744411805
expert_answer_share,2020-07,0.02025511232078524,0.01699497246542247,0.23332804185367206
novice_entry_share,2020-07,0.019100932042887073,0.009888068520591946,0.05339467034168703
accepted_7d_rate,2020-07,0.005170096165898139,0.0025033635713533173,0.038898424390476034
expert_answer_share,2020-08,0.021060506120594444,0.01701850082170934,0.21589908671230018
novice_entry_share,2020-08,0.017226361635189046,0.009396982165244035,0.06677577755339482
accepted_7d_rate,2020-08,0.005005590167164902,0.002193884571630245,0.02251234375508269
expert_answer_share,2020-09,0.021448883444092882,0.016874684667335188,0.20370421053995003
novice_entry_share,2020-09,0.015539107726738305,0.009328806073615678,0.09577071586426063
accepted_7d_rate,2020-09,0.005461966373416607,0.002243125303660105,0.01489259224851323
expert_answer_share,2020-10,0.01771712683955888,0.01629119476849487,0.27680362936956837
novice_entry_share,2020-10,0.015589250818098803,0.009118421540379743,0.08733180227543809
accepted_7d_rate,2020-10,0.005953249039124375,0.002242116267804502,0.007926329416555534
expert_answer_share,2020-11,0.015001936121783566,0.016202100111580044,0.35448474715728817
novice_entry_share,2020-11,0.014576066952154678,0.009009215988367245,0.10568280083147424
accepted_7d_rate,2020-11,0.0065246739553501175,0.0022459520254188366,0.0036715733880991167
expert_answer_share,2020-12,0.011181380490579287,0.015682106423334403,0.47584423360107464
novice_entry_share,2020-12,0.014071619454925422,0.00853144444102379,0.09906919455147127
accepted_7d_rate,2020-12,0.0066692240867817125,0.0020285409973534196,0.0010101120899846214
expert_answer_share,2021-01,0.00844409085498883,0.015525315309811124,0.5865159690439588
novice_entry_share,2021-01,0.013700723914515912,0.008358836055105375,0.10119852012194212
accepted_7d_rate,2021-01,0.007271960082154957,0.0020802722871527644,0.0004728606390462767
expert_answer_share,2021-02,0.007606877144887692,0.01571952749704893,0.628447910320488
novice_entry_share,2021-02,0.013341938695316403,0.008023979239345717,0.09636081153279577
accepted_7d_rate,2021-02,0.007296426058716544,0.0023121866833498046,0.0016014703645734563
expert_answer_share,2021-03,0.005529186055815146,0.015485663451966567,0.7210529283576714
novice_entry_share,2021-03,0.012634868999531524,0.007719745557047017,0.10169421301603969
accepted_7d_rate,2021-03,0.0074597871681600725,0.0026949349268700646,0.0056388145574056865
expert_answer_share,2021-04,0.00616430110704174,0.015160165546704383,0.6842931822130567
novice_entry_share,2021-04,0.013115753927220121,0.0072562851601852595,0.0706839575319604
accepted_7d_rate,2021-04,0.007833491359078092,0.002665672208206243,0.003296396254831286
expert_answer_share,2021-05,0.005160262026607854,0.01512333571451675,0.7329440697041152
novice_entry_share,2021-05,0.012850056461746596,0.007059643803771891,0.06872655183148228
accepted_7d_rate,2021-05,0.008032265815763492,0.0027173894153342637,0.003117825379522937
expert_answer_share,2021-06,0.0026205882274504657,0.015023091550320633,0.8615217658908636
novice_entry_share,2021-06,0.012962622214666809,0.007007340520146242,0.0643332514130564
accepted_7d_rate,2021-06,0.0077085868114255725,0.002755106496735938,0.005143173779267814
expert_answer_share,2021-07,0.002345918051514481,0.01500182097168297,0.8757370059262309
novice_entry_share,2021-07,0.012881019524511554,0.006876979106836879,0.06105959739361543
accepted_7d_rate,2021-07,0.008067746895587353,0.003057418394957113,0.008321359633805743
expert_answer_share,2021-08,0.0021775446058132706,0.015334765250535572,0.8870795966915817
novice_entry_share,2021-08,0.012503673857977361,0.006891026601400979,0.06960287895794176
accepted_7d_rate,2021-08,0.007994405102453342,0.0030385114443820015,0.008512731780540184
expert_answer_share,2021-09,0.0024386083064111214,0.01554962583324929,0.8753808315404665
novice_entry_share,2021-09,0.012539820497408457,0.006593249523821351,0.05718186469190462
accepted_7d_rate,2021-09,0.007881489163065301,0.0030654614123012975,0.010138738292494778
expert_answer_share,2021-10,0.001656509406306624,0.015133271570147917,0.9128365196525223
novice_entry_share,2021-10,0.012660143473355374,0.006594544820050126,0.05488438695139106
accepted_7d_rate,2021-10,0.007867342008702854,0.0031720353031577187,0.013130173592938697
expert_answer_share,2021-11,0.001136792735132975,0.01495625409765013,0.9394128519596174
novice_entry_share,2021-11,0.012342805957275974,0.00650188219340844,0.057650843987480785
accepted_7d_rate,2021-11,0.008258905098821328,0.003187911898864843,0.009578254176618057
expert_answer_share,2021-12,0.0011436238950358662,0.014896908866976219,0.9388071468994433
