specification,dropped_tag_a,dropped_tag_b,coef,se,pval
novice_entry_share,android,apache-spark,0.008524950663356798,0.004346769629019479,0.04985392458139449
novice_entry_share,android,bash,0.008454570651420204,0.004310269149478975,0.04982132754120103
novice_entry_share,android,docker,0.011154132883615721,0.007742411545398349,0.14968257625044828
novice_entry_share,android,excel,0.008001948075596517,0.0044049665918340745,0.0692823573244646
novice_entry_share,android,firebase,0.007779305252451457,0.004118942715594433,0.058936656131763826
novice_entry_share,android,javascript,0.00391025286568762,0.0022501030623566587,0.08224419911827423
novice_entry_share,android,kubernetes,0.007820281767864541,0.0044248921299349115,0.0771715728829257
novice_entry_share,android,linux,0.007355998222448482,0.003944279209355847,0.062184336206636395
novice_entry_share,android,memory-management,0.00832462664943597,0.0042711429868541,0.05129070052276142
novice_entry_share,android,multithreading,0.00773721294856865,0.004145496530091658,0.061983459567760385
novice_entry_share,android,numpy,0.008407943555852688,0.004314631935534954,0.0513306995135404
novice_entry_share,android,pandas,0.008911808068946238,0.004428170921217805,0.04416454354344813
novice_entry_share,android,python,0.009854032482028865,0.004602112097925059,0.03225808719078882
novice_entry_share,android,regex,0.010179429877918525,0.004494067642742332,0.023507673201809205
novice_entry_share,android,sql,0.009535039733494174,0.004630308481808483,0.03946870354690316
novice_entry_share,apache-spark,bash,0.006161361373045477,0.00513334462993988,0.2300373850605465
novice_entry_share,apache-spark,docker,0.003903333168061321,0.009084884415828286,0.66744925252905
novice_entry_share,apache-spark,excel,0.005649322879658782,0.005269527660735276,0.28368685702801644
novice_entry_share,apache-spark,firebase,0.0052873844651636255,0.005235576724419795,0.31254544203002144
novice_entry_share,apache-spark,javascript,0.0012649023499105,0.003903718406322596,0.745919108474132
novice_entry_share,apache-spark,kubernetes,0.005074085365204189,0.005569948232439462,0.36230837839129215
novice_entry_share,apache-spark,linux,0.00519179408547102,0.005140640004557453,0.31251880650085184
novice_entry_share,apache-spark,memory-management,0.005958145010116761,0.005131989458575553,0.24564940783440492
novice_entry_share,apache-spark,multithreading,0.005391219890734955,0.005198692687243054,0.29972011786337227
novice_entry_share,apache-spark,numpy,0.006060964740967506,0.005143683912811556,0.2386644775878054
novice_entry_share,apache-spark,pandas,0.006555925040474135,0.005160213897870212,0.20391532464882867
novice_entry_share,apache-spark,python,0.008232613372931295,0.005117113740051728,0.10765149846869225
novice_entry_share,apache-spark,regex,0.0077263638687948746,0.004995862592896236,0.12197118702650571
novice_entry_share,apache-spark,sql,0.007313855884665132,0.005213397504913352,0.1606477749869326
novice_entry_share,bash,docker,0.003793831883048301,0.009001766786363987,0.6734234919751598
novice_entry_share,bash,excel,0.005612937799589039,0.005246517128115042,0.284690998093895
novice_entry_share,bash,firebase,0.0052403431345762926,0.005218212410904876,0.31526243796558495
novice_entry_share,bash,javascript,0.0012698620609455256,0.0038928291919436892,0.7442689254965884
novice_entry_share,bash,kubernetes,0.005027273693219031,0.005550073923935974,0.36504012497188665
novice_entry_share,bash,linux,0.005148696712970431,0.005127506536965884,0.3153146810955523
novice_entry_share,bash,memory-management,0.005917369321886633,0.00511129755999479,0.24698487569482463
novice_entry_share,bash,multithreading,0.005347776316580692,0.005181177025463755,0.30199964355967146
novice_entry_share,bash,numpy,0.006020177721099257,0.005122569334869304,0.2399042287708395
novice_entry_share,bash,pandas,0.006513755492184147,0.005137715729709018,0.20485829375208475
novice_entry_share,bash,python,0.008202086703535788,0.005086916285465184,0.10687736658601539
novice_entry_share,bash,regex,0.007681241381584272,0.004967996281402897,0.12206961269785413
novice_entry_share,bash,sql,0.007271997018759956,0.0051879786924907325,0.16100443112128549
novice_entry_share,docker,excel,0.0031224532771787334,0.00917146388390433,0.7335153390065379
novice_entry_share,docker,firebase,0.0014959319624153178,0.009520258338041118,0.8751412547954307
novice_entry_share,docker,javascript,-0.0030522844511675896,0.007832072843257428,0.696746530738863
novice_entry_share,docker,kubernetes,0.000334552521139409,0.01070229457477242,0.9750622801429313
novice_entry_share,docker,linux,0.0012647705568950272,0.008576092930121073,0.8827560755485304
novice_entry_share,docker,memory-management,0.0035050118573925065,0.009045190620889331,0.6983860446815451
novice_entry_share,docker,multithreading,0.0020271289603833154,0.00912203636287483,0.8241400621399778
novice_entry_share,docker,numpy,0.003705757168069636,0.009059941527731728,0.6825201332864776
novice_entry_share,docker,pandas,0.004553731801096069,0.00925510165385727,0.6227024029079482
novice_entry_share,docker,python,0.00571686969370417,0.008914786539232283,0.5213411174876903
novice_entry_share,docker,regex,0.006775549969122697,0.009442052592702433,0.4730083323038724
novice_entry_share,docker,sql,0.005677337868406904,0.009455339609654577,0.5482148860538625
novice_entry_share,excel,firebase,0.004750618503500831,0.005355665094562081,0.3750644685600454
novice_entry_share,excel,javascript,0.00031306361772754737,0.0038884862742311305,0.9358313184577967
novice_entry_share,excel,kubernetes,0.004520298778423775,0.005701257521705679,0.4278594210527409
novice_entry_share,excel,linux,0.004662845738619346,0.005256955485115324,0.375086456324776
novice_entry_share,excel,memory-management,0.005414447590529241,0.005246853798243784,0.30209939722444734
novice_entry_share,excel,multithreading,0.004849033354530147,0.0053187120442087935,0.36193026925214766
novice_entry_share,excel,numpy,0.005514371639852668,0.005258736969469307,0.2943569977662829
novice_entry_share,excel,pandas,0.00599618874176833,0.005274244101975021,0.25558796987992827
novice_entry_share,excel,python,0.007534616316519557,0.005387132601605927,0.16192335009083214
novice_entry_share,excel,regex,0.007142643668926397,0.005118346855799664,0.16286566635550392
novice_entry_share,excel,sql,0.006706982458824118,0.005351341154436183,0.21008658320535378
novice_entry_share,firebase,javascript,0.0005687182825937715,0.004305259864803671,0.894906398446749
novice_entry_share,firebase,kubernetes,0.003977646410341484,0.005817300083535305,0.49412571859939247
novice_entry_share,firebase,linux,0.004173163079188827,0.005330856743504465,0.4337260122048481
novice_entry_share,firebase,memory-management,0.005048120159449509,0.005227393634045601,0.3341918177917551
novice_entry_share,firebase,multithreading,0.004415705539332644,0.005355458211185406,0.40964170302267444
novice_entry_share,firebase,numpy,0.005151103346224177,0.0052305887498747036,0.3247204848005396
novice_entry_share,firebase,pandas,0.005639096061155624,0.005224279769782827,0.2804087278608962
novice_entry_share,firebase,python,0.007152464365614726,0.005184866729611143,0.16774416942618586
novice_entry_share,firebase,regex,0.0068083937922145,0.005003864301770731,0.1736315365297908
novice_entry_share,firebase,sql,0.006358225652213722,0.005247832517262584,0.22566905402422333
novice_entry_share,javascript,kubernetes,5.614379121633772e-05,0.004702389335332579,0.9904739491474465
novice_entry_share,javascript,linux,0.0006058940727904066,0.0042422798212575046,0.886430168915785
novice_entry_share,javascript,memory-management,0.001088699786434251,0.003931481371822255,0.7818427138608594
novice_entry_share,javascript,multithreading,0.0005814523691303354,0.00415833141193391,0.8887956609632786
novice_entry_share,javascript,numpy,0.00114673378027752,0.0039130180672984,0.7694792780187512
novice_entry_share,javascript,pandas,0.0015737070839969183,0.0038659287577892457,0.6839559183357422
novice_entry_share,javascript,python,0.0010382415450452447,0.00407026472160187,0.7986616108569593
novice_entry_share,javascript,regex,0.002563053170487958,0.003499666813489013,0.46394238328707404
novice_entry_share,javascript,sql,0.001921264654877653,0.0038282569064536976,0.6157631293251211
novice_entry_share,kubernetes,linux,0.0038687405477173496,0.005689099144612985,0.49648741805696883
novice_entry_share,kubernetes,memory-management,0.0048238636232586325,0.005563986169355332,0.38595307698258985
novice_entry_share,kubernetes,multithreading,0.004142201386208241,0.0057185129239150975,0.46885125818633433
novice_entry_share,kubernetes,numpy,0.004935500060257433,0.005565536223026349,0.37518827716524217
novice_entry_share,kubernetes,pandas,0.005447833655503824,0.005559845377148569,0.3271584653777102
novice_entry_share,kubernetes,python,0.006946599418939211,0.005533470149820909,0.20934139288313747
novice_entry_share,kubernetes,regex,0.006686803520692201,0.0053401522400382305,0.2105062133816039
novice_entry_share,kubernetes,sql,0.006193245351808597,0.005588911497759791,0.26780530141843706
novice_entry_share,linux,memory-management,0.004946365840353551,0.005130023485270477,0.3349459383840575
novice_entry_share,linux,multithreading,0.00433408103852913,0.005268469477573336,0.4107097963814528
novice_entry_share,linux,numpy,0.005052065398190947,0.0051332957862663805,0.32502909087049103
novice_entry_share,linux,pandas,0.00553603777685674,0.00512282304695758,0.27984770277088944
novice_entry_share,linux,python,0.00728397036378967,0.0050653563625637135,0.15043473111703842
novice_entry_share,linux,regex,0.006675405887540228,0.0048823263731714,0.1715440601501942
novice_entry_share,linux,sql,0.006284713501168128,0.005148184389236422,0.2221757312146354
novice_entry_share,memory-management,multithreading,0.0051538531710766606,0.005185417791279046,0.3202653170181552
