primary_tag,n_questions,min_question_created_at,max_question_created_at,mean_first_answer_1d,mean_accepted_7d,pre_questions,mean_exposure_raw,mean_routine_hits,mean_context_hits,mean_version_hits,mean_config_hits,manual_high,exposure_index,exposure_rank,exposure_tercile,high_tag
regex,25971,2020-01-01 03:50:11.197000+00:00,2025-12-30 13:37:14.397000+00:00,0.8635015979361595,0.2076546917715914,21515,1.2876365326516384,1.3029979084359748,0.0117592377411108,0.0047873576574482,0.002416918429003,1,1.657307329678494,1,High,1
pandas,20189,2020-01-01 00:39:41.617000+00:00,2025-11-16 08:02:53.030000+00:00,0.7924117093466739,0.1720243697062757,17115,0.935553607946246,0.9597429155711364,0.0188723342097575,0.0074203914694712,0.0032135553607946,1,1.1493993062473231,2,High,1
numpy,4252,2020-01-01 06:39:27.880000+00:00,2025-10-23 20:22:26.780000+00:00,0.6556914393226717,0.1912041392285983,3554,0.7367754642656162,0.8097917839054586,0.0627462014631401,0.0196961170512099,0.0008441193021947,1,0.8626457974180449,3,High,1
sql,150708,2020-01-01 00:28:01.737000+00:00,2025-12-30 16:49:46.597000+00:00,0.8359277543328821,0.17835151418637366,123789,0.7021787073164821,0.7709489534611315,0.0657085847692444,0.0048065660115196,0.0013167567392902,1,0.8127371844006236,4,High,1
apache-spark,21881,2020-01-01 08:26:20.160000+00:00,2025-12-25 12:03:25.277000+00:00,0.5841140715689411,0.18532059777889492,18428,0.6091816800520946,0.7365422183633601,0.1070110701107011,0.03185370088995,0.0088452355111786,0,0.6785814699695615,5,High,1
excel,72417,2020-01-01 00:58:12.317000+00:00,2025-12-31 15:38:02.617000+00:00,0.7010370493116257,0.17454465111783146,54913,0.4938448090616065,0.5195855261959827,0.0227632800976089,0.0042066541620381,0.0017482199114963,1,0.5121987286806099,6,Middle,1
javascript,618363,2020-01-01 00:17:10.007000+00:00,2025-12-31 21:35:06.267000+00:00,0.7018320953873373,0.15499957144913262,529061,0.4748261542619849,0.5315133793645723,0.0514061705550021,0.0043926881777337,0.0061694209174367,1,0.484762784788476,7,Middle,1
bash,27492,2020-01-01 13:19:13.933000+00:00,2025-12-31 21:46:36.933000+00:00,0.7752800814782482,0.1935108395169504,21874,0.4346027246959861,0.5199780561397093,0.0746091249885709,0.0053488159458718,0.0161835969644326,1,0.4267372425853595,8,Middle,1
python,714087,2020-01-01 00:14:31.830000+00:00,2025-12-31 23:14:43.730000+00:00,0.6686958311802343,0.16101259370356832,589797,0.395570001203804,0.5010876623651866,0.0939102776039891,0.0151357161870948,0.008079050927692,1,0.3704293899547944,9,Middle,0
linux,33433,2020-01-01 00:34:05.470000+00:00,2025-12-31 11:29:19.877000+00:00,0.5351598719827715,0.15167648730296412,27622,-0.1028709000072406,0.2682282238795163,0.3391861559626384,0.0439866772862211,0.0198392585620157,0,-0.3486118221209918,10,Middle,0
memory-management,3082,2020-01-02 02:49:27.690000+00:00,2025-12-19 04:28:21.953000+00:00,0.6440622972096042,0.16255678131083712,2329,-0.2234864748819235,0.3228853585229712,0.5422928295405753,0.0064405324173465,0.0017174753112924,0,-0.522609519626134,11,Low,0
android,196116,2020-01-01 00:01:28.670000+00:00,2025-12-31 11:48:30.457000+00:00,0.5388800505823085,0.14593913806114747,162195,-0.2649835075063966,0.3934523259040044,0.6292179167052006,0.0223373100280526,0.0360985233823484,0,-0.5824723369899437,12,Low,0
firebase,40880,2020-01-01 02:05:56.987000+00:00,2025-12-30 10:32:01.617000+00:00,0.6180039138943249,0.17729941291585127,34085,-0.434443303505941,0.3584861375971835,0.779580460613173,0.0102684465307319,0.0164295144491711,0,-0.8269317640104322,13,Low,0
multithreading,16670,2020-01-01 02:05:20.743000+00:00,2025-12-31 03:28:49.097000+00:00,0.6445110977804439,0.1841631673665267,13035,-0.5682009973149214,0.2376678174146528,0.8023014959723821,0.0059071729957805,0.0012274645186037,0,-1.0198880283282128,14,Low,0
kubernetes,30546,2020-01-01 06:56:13.167000+00:00,2025-12-31 17:42:39.763000+00:00,0.5689451974071892,0.1926275126039416,25272,-0.9611625514403292,0.2176321620766065,1.1435185185185186,0.0200617283950617,0.0504906616017727,0,-1.5867667726106391,15,Low,0
docker,59798,2020-01-01 01:39:26.363000+00:00,2025-12-31 04:40:41.853000+00:00,0.5014716211244523,0.15656042008093915,45761,-1.2944210135268024,0.1762199252638709,1.4148729267279998,0.0333471733572255,0.0781888507681213,0,-2.067518990036933,16,Low,0
