break_month,coef_level,pval_level,coef_acceleration,se_acceleration,pval_acceleration,actual_break_month,actual_coef_acceleration,actual_rank_vs_pre
2020-07,-0.015306553267600753,9.928177116090304e-05,0.002076761623513011,0.00039144950959946607,1.1248068864159956e-07,2022-12,3.231001264722483e-05,30
2020-08,-0.015010085983669113,9.73676340007951e-05,0.002075557456970349,0.00039532678615084065,1.5190752835994736e-07,2022-12,3.231001264722483e-05,30
2020-09,-0.015008230207310047,3.93405204213714e-05,0.002023192323780449,0.0004088084466652205,7.459638330567341e-07,2022-12,3.231001264722483e-05,30
2020-10,-0.01435996254643974,6.537874022214811e-05,0.0020588239482708364,0.0004078114741708132,4.4536264510834046e-07,2022-12,3.231001264722483e-05,30
2020-11,-0.013782016486718977,6.915200863824673e-05,0.0020778937216553595,0.0004165999137581552,6.108844058863977e-07,2022-12,3.231001264722483e-05,30
2020-12,-0.013005511611044695,9.506707657591483e-05,0.0021057101108171816,0.0004250516364151957,7.269942061397286e-07,2022-12,3.231001264722483e-05,30
2021-01,-0.012069747906880882,0.00014900330133549322,0.0021399812347970065,0.0004328901555435845,7.674258365233619e-07,2022-12,3.231001264722483e-05,30
2021-02,-0.011145015370566438,0.00027634042964599394,0.002174019927815091,0.00043964176041675035,7.61514907382518e-07,2022-12,3.231001264722483e-05,30
2021-03,-0.010237920552345502,0.00040124032435939007,0.0021968381916118653,0.00044821700027003204,9.521296741756964e-07,2022-12,3.231001264722483e-05,30
2021-04,-0.009678516092946201,0.0001587963358320562,0.002206289343844448,0.00046267178371379064,1.8552515754495842e-06,2022-12,3.231001264722483e-05,30
2021-05,-0.008535446518850022,0.00030487260281403326,0.0022383074102103897,0.0004708605184129504,1.9977401694136514e-06,2022-12,3.231001264722483e-05,30
2021-06,-0.007356761982552949,0.0005049460301684478,0.002267771886423823,0.00048140228172604963,2.4679152441487686e-06,2022-12,3.231001264722483e-05,30
2021-07,-0.006097520546985127,0.0006420989856547279,0.002285948101397963,0.000490181847660828,3.1092226895017974e-06,2022-12,3.231001264722483e-05,30
2021-08,-0.004792873261203211,0.0009652066440201571,0.0022981861088844672,0.0004983273051964325,3.991960583559715e-06,2022-12,3.231001264722483e-05,30
2021-09,-0.003505021629980354,0.0050008987463497,0.002305620716045979,0.000504275426208049,4.827550826224776e-06,2022-12,3.231001264722483e-05,30
2021-10,-0.001744189350119529,0.131641176341383,0.0023164356036486757,0.0005071790308925287,4.940614806083971e-06,2022-12,3.231001264722483e-05,30
2021-11,0.00029806262602002887,0.811440122761059,0.0023223601530986933,0.0005074960507727113,4.73690833949597e-06,2022-12,3.231001264722483e-05,30
2021-12,0.002232480603225753,0.18073255037113,0.0023132664135528808,0.0005074923690526543,5.1586782642946025e-06,2022-12,3.231001264722483e-05,30
2022-01,0.004695051888263362,0.030855942083158262,0.0023012891960178905,0.0005034451613039133,4.852119806923343e-06,2022-12,3.231001264722483e-05,30
2022-02,0.007534294452254882,0.0063943414471422854,0.002276195650260095,0.0004956884095618384,4.390418283098579e-06,2022-12,3.231001264722483e-05,30
2022-03,0.010413051122835009,0.0032489895245182364,0.0022343428216806236,0.0004856418711665831,4.20864309232623e-06,2022-12,3.231001264722483e-05,30
2022-04,0.013757134328683095,0.0016019499802668534,0.0021747368770282565,0.0004704021936637512,3.77967927853176e-06,2022-12,3.231001264722483e-05,30
2022-05,0.017360497263842038,0.0011337857521154916,0.002093646979960789,0.0004504765526719884,3.357754000064981e-06,2022-12,3.231001264722483e-05,30
2022-06,0.021651572098879305,0.0007637247580720179,0.00197998431546653,0.00042189347127527874,2.6910813969318877e-06,2022-12,3.231001264722483e-05,30
2022-07,0.026523454418185925,0.0005725277715430493,0.0018293359501896065,0.00038528849258944483,2.0547444537145517e-06,2022-12,3.231001264722483e-05,30
2022-08,0.031877338295804004,0.0005462006325081195,0.0016333417631417277,0.0003408515719005717,1.6517272549119544e-06,2022-12,3.231001264722483e-05,30
2022-09,0.03837028189181404,0.0004905422180796491,0.0013666756406995049,0.0002868971949960787,1.9012933119650895e-06,2022-12,3.231001264722483e-05,30
2022-10,0.0459166858099267,0.0004790460560724873,0.001018886636748342,0.00023178508780648277,1.1035291833327564e-05,2022-12,3.231001264722483e-05,30
2022-11,0.054466578559430476,0.00043988426431499543,0.0005911372398583621,0.00020932685239284483,0.004742965120042747,2022-12,3.231001264722483e-05,30
2022-12,0.0648522317632996,0.0003240014742740789,3.231001264722483e-05,0.00026440062227809795,0.9027398578566819,2022-12,3.231001264722483e-05,30
